channel,event_ratio,risk_ratio
neoplastic_frac,0.18440456914726233,0.24777688364519787
cellularity_frac,0.18395490321419314,0.2460036280612708
epithelial_frac,0.18384655432638514,0.24810330557370747
inflammatory_frac,0.18354168628660916,0.24845011775412718
connective_frac,0.18325211901850247,0.24759128461475777
nucleus_density,0.18314203594683323,0.24658254454556347
