rank,gene_id,is_literature_curated
1,ENSG00000116062.17,True
2,ENSG00000095002.15,True
3,ENSG00000134333.14,True
4,ENSG00000149554.13,True
5,ENSG00000090382.7,True
6,ENSG00000131747.15,True
7,ENSG00000104738.18,True
8,ENSG00000160712.13,True
9,ENSG00000019549.13,True
10,ENSG00000167286.10,True
11,ENSG00000134057.15,True
12,ENSG00000132646.11,True
13,ENSG00000105976.16,True
14,ENSG00000076003.5,True
15,ENSG00000198851.10,True
16,ENSG00000087586.18,True
17,ENSG00000121879.6,True
18,ENSG00000005884.18,True
19,ENSG00000083093.10,True
20,ENSG00000170312.16,True
21,ENSG00000012048.23,True
22,ENSG00000150093.20,True
23,ENSG00000074800.16,True
24,ENSG00000092969.12,True
25,ENSG00000163599.17,True
26,ENSG00000171791.14,True
27,ENSG00000139515.6,True
28,ENSG00000049768.16,True
29,ENSG00000141448.11,True
30,ENSG00000112715.25,True
31,ENSG00000066405.13,True
32,ENSG00000089685.15,True
33,ENSG00000122861.16,True
34,ENSG00000188389.11,True
35,ENSG00000012061.16,True
36,ENSG00000196754.13,True
37,ENSG00000121807.6,True
38,ENSG00000166851.15,True
39,ENSG00000051180.17,True
40,ENSG00000073111.14,True
41,ENSG00000101076.17,True
42,ENSG00000113083.15,True
43,ENSG00000123374.11,True
44,ENSG00000106541.12,True
45,ENSG00000170558.10,True
46,ENSG00000107159.13,True
47,ENSG00000121966.7,True
48,ENSG00000148773.14,True
49,ENSG00000100644.17,True
50,ENSG00000163359.16,True
51,ENSG00000172116.23,True
52,ENSG00000117394.24,True
53,ENSG00000132470.14,True
