gene_symbol,category,gene_id,available,cox_rank,meta_cox_z
MNX1,classical_pancreatic_progenitor,ENSG00000130675.15,True,16438,-0.2818959029159586
TP63,basal_squamous_mesenchymal,ENSG00000073282.14,True,16513,0.27501488909462096
CD68,immune_inflammation_tgf_beta,ENSG00000129226.14,True,16693,-0.25637383348960524
IL6,immune_inflammation_tgf_beta,ENSG00000136244.12,True,16706,-0.2555337869591297
DCN,stroma_ecm_invasion,ENSG00000011465.18,True,16929,0.2332364473532741
ONECUT1,classical_pancreatic_progenitor,ENSG00000169856.9,True,16954,-0.2299435894163103
EPCAM,classical_pancreatic_progenitor,ENSG00000119888.11,True,17845,0.1470464425994506
ACTA2,stroma_ecm_invasion,ENSG00000107796.13,True,17890,-0.1431202405673502
GNAS,core_driver_tumor_suppressor,ENSG00000087460.27,True,18272,-0.10842376752794917
TGFBR2,core_driver_tumor_suppressor,ENSG00000163513.19,True,18436,0.09350504854519409
ARID1A,core_driver_tumor_suppressor,ENSG00000117713.20,True,18453,-0.09229153860887582
COL6A2,stroma_ecm_invasion,ENSG00000142173.16,True,18498,0.0875322835150278
CLDN4,classical_pancreatic_progenitor,ENSG00000189143.9,True,18894,0.05190429984426685
BGN,stroma_ecm_invasion,ENSG00000182492.16,True,19190,-0.02427888858033955
TAGLN,stroma_ecm_invasion,ENSG00000149591.17,True,19275,0.014144134632656563
