rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,cptac_train_n,cptac_train_events,cptac_cox_z,cptac_cox_p,meta_cox_z,meta_cox_p,direction
1,ENSG00000286014.1,91,50,0.0,1.0,87,70,9.165151389741709,4.9477476229090483e-20,6.480740698287672,9.127341806560547e-11,higher_expr_higher_risk
2,ENSG00000197123.9,91,50,5.981622413743323,2.209259304275901e-09,87,70,1.7368739798888166,0.08240941715654675,5.457801140501197,4.82067115819031e-08,higher_expr_higher_risk
3,ENSG00000118491.10,91,50,6.327488275172376,2.491838988598412e-10,87,70,1.165780209997079,0.24370332051673166,5.29854095911477,1.167316934633697e-07,higher_expr_higher_risk
4,ENSG00000100060.18,91,50,-3.5798798930515927,0.0003437521705988472,87,70,-3.404785300943556,0.0006621609153639085,-4.938904122991621,7.856282502160467e-07,higher_expr_lower_risk
5,ENSG00000155495.9,91,50,4.66579879804503,3.0742040581502148e-06,87,70,1.9749885478705256,0.048269447644051326,4.695745764714704,2.6563576780598095e-06,higher_expr_higher_risk
6,ENSG00000128050.9,91,50,2.977449258429434,0.0029065775246959226,87,70,3.6474833414399663,0.0002648214751108632,4.684534766271477,2.8059653892567234e-06,higher_expr_higher_risk
7,ENSG00000137807.16,91,50,4.7031335794964155,2.5619867999701588e-06,87,70,1.9009588705143035,0.057307400067276734,4.6697985549854595,3.0149523615253284e-06,higher_expr_higher_risk
8,ENSG00000275969.2,91,50,6.557448151680421,5.4736332110340406e-11,87,70,2.371959450170578e-10,0.999999999810745,4.636816055500141,3.5381701453282887e-06,higher_expr_higher_risk
9,ENSG00000163655.16,91,50,2.914422822664846,0.003563469060886299,87,70,3.6248546184368946,0.0002891240490791404,4.623967422663254,3.764690178163253e-06,higher_expr_higher_risk
10,ENSG00000162878.13,91,50,-1.596077187969205,0.11047156108919925,87,70,-4.93163725183189,8.154324119722532e-07,-4.615791146032699,3.916006188950037e-06,higher_expr_lower_risk
11,ENSG00000198734.12,91,50,-2.3841629772644457,0.01711801946010176,87,70,-3.9981202777203957,6.384750691116121e-05,-4.512955769053132,6.3930358399503436e-06,higher_expr_lower_risk
12,ENSG00000163689.20,91,50,3.2956028394210635,0.000982107502928306,87,70,3.081703814647823,0.0020581951968882796,4.509436780798202,6.499996039136184e-06,higher_expr_higher_risk
13,ENSG00000135596.18,91,50,-3.219415278651526,0.0012845231162898318,87,70,-3.063621005186319,0.0021867574851407692,-4.442777562742865,8.880496137672436e-06,higher_expr_lower_risk
14,ENSG00000100714.17,91,50,2.933712015519863,0.00334934815857792,87,70,3.2710119239314692,0.0010716339190630282,4.387402372976546,1.1471245551483881e-05,higher_expr_higher_risk
15,ENSG00000100522.10,91,50,3.088825962053697,0.0020094911805627782,87,70,3.1109855722287363,0.0018646404953133456,4.3839287779696825,1.1655789416338165e-05,higher_expr_higher_risk
16,ENSG00000149136.9,91,50,2.147455239306349,0.031757057006837855,87,70,3.9933196885735853,6.515462901648027e-05,4.342183593244234,1.4107356788634455e-05,higher_expr_higher_risk
17,ENSG00000117501.14,91,50,4.526523473389397,5.996194171770444e-06,87,70,1.5942930203215975,0.11087042025057904,4.328070849101511,1.5042108625265283e-05,higher_expr_higher_risk
18,ENSG00000136518.17,91,50,3.7329121439906197,0.00018927862954094577,87,70,2.3861314593119416,0.017026663477798177,4.326817226271407,1.5127938920885669e-05,higher_expr_higher_risk
19,ENSG00000174780.17,91,50,2.294349553012784,0.02177042836371076,87,70,3.79191689188602,0.0001494889446144734,4.303640275296085,1.6801438501153293e-05,higher_expr_higher_risk
20,ENSG00000258453.3,91,50,4.502490587939925,6.71617300744673e-06,87,70,1.5775909067154552,0.1146596227614185,4.299266855037659,1.7136403866033017e-05,higher_expr_higher_risk
21,ENSG00000125629.15,91,50,2.861186193701093,0.004220590989444468,87,70,3.186958641508147,0.0014377733261723565,4.276684226574846,1.8969758054022658e-05,higher_expr_higher_risk
22,ENSG00000164163.11,91,50,2.8554755026474847,0.004297243786191406,87,70,3.1551117064258354,0.0016043666516974888,4.250126974448869,2.136493672387506e-05,higher_expr_higher_risk
23,ENSG00000137962.13,91,50,1.5695134264052444,0.11652835346224272,87,70,4.430919245569577,9.383222643324014e-06,4.242946632406711,2.2060391095759956e-05,higher_expr_higher_risk
24,ENSG00000285010.1,91,50,3.013699845445798,0.0025808300164866156,87,70,2.9540710347858474,0.0031361180960997504,4.219851257979408,2.4446355565748736e-05,higher_expr_higher_risk
25,ENSG00000116062.17,91,50,1.7065911245785814,0.0878980759813193,87,70,4.238651985880336,2.248659254529596e-05,4.203921719208103,2.6232969518707164e-05,higher_expr_higher_risk
26,ENSG00000114416.18,91,50,2.1582586349112707,0.030907728878979385,87,70,3.709419018421469,0.00020773538682701632,4.149074658488348,3.338219342078403e-05,higher_expr_higher_risk
27,ENSG00000186660.15,91,50,2.5446487692958044,0.010938770427399264,87,70,3.286558770469121,0.0010141960821116631,4.123286393873903,3.735048264493631e-05,higher_expr_higher_risk
28,ENSG00000104870.13,91,50,-1.5005839691238485,0.13346320022536284,87,70,-4.323398284265208,1.5364399244783566e-05,-4.118177344881511,3.818807731451958e-05,higher_expr_lower_risk
29,ENSG00000080986.13,91,50,3.1402318397987234,0.0016881417974313538,87,70,2.6341157382536933,0.008435672767803595,4.083080329368981,4.4442651871281156e-05,higher_expr_higher_risk
30,ENSG00000162894.12,91,50,-2.9523869794402122,0.003153274797258516,87,70,-2.817916558166841,0.004833636961458167,-4.080220760946672,4.4992949715507916e-05,higher_expr_lower_risk
31,ENSG00000100628.12,91,50,-2.5976615633834736,0.009386095322935765,87,70,-3.1662524114953183,0.0015441673711057058,-4.075702657812701,4.587560867156126e-05,higher_expr_lower_risk
32,ENSG00000011426.11,91,50,3.387655759411928,0.0007049267836909877,87,70,2.37531288128419,0.017534080151596645,4.075034205601645,4.6007584026087327e-05,higher_expr_higher_risk
33,ENSG00000128513.16,91,50,3.768860618263625,0.00016399442646520507,87,70,1.978462343080551,0.047876572696522283,4.063971039635616,4.8244814469939416e-05,higher_expr_higher_risk
34,ENSG00000198826.11,91,50,3.886386334490377,0.00010174753476645527,87,70,1.860417748799735,0.06282644549041769,4.063604137444979,4.8320749228603046e-05,higher_expr_higher_risk
35,ENSG00000136878.14,91,50,-3.482742718820488,0.0004963050883306242,87,70,-2.2490200743815407,0.024511218922256998,-4.052968339225901,5.057184868541039e-05,higher_expr_lower_risk
36,ENSG00000135929.9,91,50,-2.770174532523859,0.005602626216752248,87,70,-2.961290224100322,0.0030635310802084644,-4.052757595540664,5.061744183476745e-05,higher_expr_lower_risk
37,ENSG00000116852.15,91,50,-3.3189769059506804,0.0009034790102977211,87,70,-2.3966902512010844,0.016543902445191605,-4.041587005827249,5.309067551668171e-05,higher_expr_lower_risk
38,ENSG00000137070.18,91,50,-2.993336947652733,0.0027594491209058463,87,70,-2.7133390742994643,0.006660891175546185,-4.035229313157069,5.4548995389861e-05,higher_expr_lower_risk
39,ENSG00000164134.13,91,50,2.878235489559925,0.003999064914855346,87,70,2.827114386510749,0.004696954683402656,4.034291586411402,5.476727506045682e-05,higher_expr_higher_risk
40,ENSG00000068831.19,91,50,-2.890445021279569,0.0038469681438251147,87,70,-2.8077096350562614,0.004989519286818408,-4.029203797744767,5.596608451490334e-05,higher_expr_lower_risk
41,ENSG00000142731.11,91,50,3.9284708748394572,8.54877016193377e-05,87,70,1.738171524987286,0.08218059490597583,4.006921267476701,6.151535753453996e-05,higher_expr_higher_risk
42,ENSG00000138778.13,91,50,4.179649895642772,2.9195822568334563e-05,87,70,1.485276630636301,0.13747055977257092,4.005707961655485,6.183200544085268e-05,higher_expr_higher_risk
43,ENSG00000206560.11,91,50,1.9658209044045656,0.049319302182079645,87,70,3.694958962829685,0.00021992230410356525,4.002775830925622,6.260361400419685e-05,higher_expr_higher_risk
44,ENSG00000121579.13,91,50,3.0871768442460605,0.002020673445589782,87,70,2.5692806407094464,0.010190988898795683,3.999719445105442,6.341761926644611e-05,higher_expr_higher_risk
45,ENSG00000198901.14,91,50,3.223545591721082,0.0012661414144791538,87,70,2.4294877002479383,0.015120177941850664,3.997298175024606,6.40695763543734e-05,higher_expr_higher_risk
46,ENSG00000172167.8,91,50,3.1488354751252494,0.0016392245420876787,87,70,2.5018667033017667,0.012354042876323601,3.9956498288313393,6.45170381469679e-05,higher_expr_higher_risk
