rank,gene_id
246,ENSG00000132329.11
247,ENSG00000130707.18
248,ENSG00000169083.18
249,ENSG00000275385.2
250,ENSG00000184613.11
251,ENSG00000133321.11
252,ENSG00000141744.4
253,ENSG00000196208.14
254,ENSG00000167757.14
255,ENSG00000166825.15
256,ENSG00000163064.7
257,ENSG00000105825.14
258,ENSG00000170419.11
259,ENSG00000123689.6
260,ENSG00000107159.13
261,ENSG00000186868.16
262,ENSG00000164403.15
263,ENSG00000163040.15
264,ENSG00000197253.13
265,ENSG00000022556.16
266,ENSG00000229314.5
267,ENSG00000185745.10
268,ENSG00000244731.8
269,ENSG00000126010.6
270,ENSG00000163631.17
271,ENSG00000167755.15
272,ENSG00000179023.8
273,ENSG00000054598.9
274,ENSG00000110169.11
275,ENSG00000099812.9
276,ENSG00000103534.17
277,ENSG00000144218.19
278,ENSG00000172061.9
279,ENSG00000169248.13
280,ENSG00000170893.4
281,ENSG00000135744.8
282,ENSG00000168743.13
283,ENSG00000062038.14
284,ENSG00000099194.6
285,ENSG00000163879.11
286,ENSG00000117983.17
287,ENSG00000137699.17
288,ENSG00000115221.12
289,ENSG00000165474.8
290,ENSG00000124143.10
291,ENSG00000278828.1
292,ENSG00000163751.4
293,ENSG00000130513.6
294,ENSG00000134757.5
295,ENSG00000169715.15
296,ENSG00000198729.5
297,ENSG00000114115.10
298,ENSG00000157601.14
299,ENSG00000271503.6
300,ENSG00000120738.8
301,ENSG00000113296.14
302,ENSG00000204710.2
303,ENSG00000173917.10
304,ENSG00000041982.16
305,ENSG00000175315.3
306,ENSG00000065618.21
307,ENSG00000130303.13
308,ENSG00000140284.11
309,ENSG00000138207.14
310,ENSG00000166165.13
311,ENSG00000120885.22
312,ENSG00000084207.18
313,ENSG00000121005.9
314,ENSG00000196091.15
315,ENSG00000188001.10
316,ENSG00000170561.13
317,ENSG00000167588.13
318,ENSG00000159167.12
319,ENSG00000172137.19
320,ENSG00000103257.9
321,ENSG00000170476.16
322,ENSG00000108932.12
323,ENSG00000168542.16
324,ENSG00000108821.14
325,ENSG00000169908.12
326,ENSG00000186340.16
327,ENSG00000196090.12
328,ENSG00000228278.5
329,ENSG00000039068.19
330,ENSG00000104368.19
331,ENSG00000187288.12
332,ENSG00000153132.13
333,ENSG00000135218.19
334,ENSG00000077274.9
335,ENSG00000170786.12
336,ENSG00000183844.17
337,ENSG00000182795.13
338,ENSG00000112559.15
339,ENSG00000171954.13
340,ENSG00000204019.5
341,ENSG00000160307.10
342,ENSG00000276644.5
343,ENSG00000058085.15
344,ENSG00000164919.11
345,ENSG00000167653.5
346,ENSG00000174938.14
347,ENSG00000133110.15
348,ENSG00000139629.16
349,ENSG00000155093.19
350,ENSG00000013588.9
351,ENSG00000150667.8
352,ENSG00000141736.14
353,ENSG00000101057.16
354,ENSG00000196878.15
355,ENSG00000147257.15
356,ENSG00000102109.9
357,ENSG00000159166.15
358,ENSG00000100003.18
359,ENSG00000164692.18
360,ENSG00000158406.5
361,ENSG00000126562.17
362,ENSG00000134533.6
363,ENSG00000171345.13
364,ENSG00000100219.16
365,ENSG00000175352.11
366,ENSG00000110092.4
367,ENSG00000142102.16
368,ENSG00000186493.13
369,ENSG00000227507.3
370,ENSG00000106809.11
371,ENSG00000115457.10
372,ENSG00000172236.18
373,ENSG00000139055.7
374,ENSG00000108551.5
375,ENSG00000277075.2
376,ENSG00000135549.15
377,ENSG00000115468.12
378,ENSG00000119938.9
379,ENSG00000163347.6
380,ENSG00000084444.14
381,ENSG00000165215.6
382,ENSG00000180543.5
383,ENSG00000070193.5
384,ENSG00000111319.13
385,ENSG00000169442.9
386,ENSG00000124479.11
387,ENSG00000089199.10
388,ENSG00000095321.17
389,ENSG00000162891.10
390,ENSG00000105523.3
391,ENSG00000172201.12
392,ENSG00000175445.17
393,ENSG00000196616.14
394,ENSG00000262406.3
395,ENSG00000187955.12
396,ENSG00000158164.7
397,ENSG00000149968.12
398,ENSG00000105707.14
399,ENSG00000185290.4
400,ENSG00000139329.5
401,ENSG00000115290.10
402,ENSG00000113924.12
403,ENSG00000164530.15
404,ENSG00000273802.2
405,ENSG00000170801.10
406,ENSG00000221867.9
407,ENSG00000064787.13
408,ENSG00000146476.11
409,ENSG00000092621.13
410,ENSG00000131203.13
411,ENSG00000004799.8
412,ENSG00000143412.10
413,ENSG00000134443.10
414,ENSG00000135750.15
415,ENSG00000164764.11
416,ENSG00000165140.11
417,ENSG00000131746.13
418,ENSG00000124302.13
419,ENSG00000105374.10
420,ENSG00000196196.3
421,ENSG00000116299.17
422,ENSG00000167772.12
423,ENSG00000168306.13
424,ENSG00000130487.9
425,ENSG00000198502.6
426,ENSG00000167656.5
427,ENSG00000151882.11
428,ENSG00000182253.15
429,ENSG00000148735.15
430,ENSG00000167286.10
431,ENSG00000171209.3
432,ENSG00000205362.11
433,ENSG00000069011.16
434,ENSG00000162670.11
435,ENSG00000116824.5
436,ENSG00000121552.4
437,ENSG00000124249.7
438,ENSG00000188959.9
439,ENSG00000175287.19
440,ENSG00000180596.7
441,ENSG00000122176.12
442,ENSG00000092068.20
443,ENSG00000043039.7
444,ENSG00000104783.14
445,ENSG00000268104.3
446,ENSG00000162738.6
447,ENSG00000115414.21
448,ENSG00000068078.20
449,ENSG00000011465.18
450,ENSG00000197261.11
451,ENSG00000148344.11
452,ENSG00000164220.7
453,ENSG00000187720.14
454,ENSG00000105519.18
455,ENSG00000122679.8
456,ENSG00000120251.21
457,ENSG00000127084.19
458,ENSG00000075886.11
459,ENSG00000175426.11
460,ENSG00000154277.13
461,ENSG00000169710.9
462,ENSG00000134762.17
463,ENSG00000133328.4
464,ENSG00000170549.4
465,ENSG00000112183.15
466,ENSG00000111799.21
467,ENSG00000175063.17
468,ENSG00000119917.14
469,ENSG00000164626.9
470,ENSG00000156284.6
471,ENSG00000106211.10
472,ENSG00000214530.9
473,ENSG00000115339.14
474,ENSG00000188916.9
475,ENSG00000181019.13
476,ENSG00000168004.10
477,ENSG00000134215.16
478,ENSG00000162975.5
479,ENSG00000099994.11
480,ENSG00000165816.13
481,ENSG00000185885.16
482,ENSG00000140443.15
483,ENSG00000164742.16
484,ENSG00000135111.16
485,ENSG00000160867.15
486,ENSG00000127324.9
487,ENSG00000196557.13
488,ENSG00000171243.8
489,ENSG00000160932.11
490,ENSG00000198851.10
491,ENSG00000145649.8
492,ENSG00000243955.6
493,ENSG00000100604.13
494,ENSG00000157613.11
495,ENSG00000118513.19
496,ENSG00000115112.8
497,ENSG00000019169.10
498,ENSG00000134352.20
499,ENSG00000127954.13
500,ENSG00000006210.7
501,ENSG00000112796.10
502,ENSG00000157404.16
503,ENSG00000101938.15
504,ENSG00000131831.18
505,ENSG00000249992.2
506,ENSG00000137965.11
507,ENSG00000139352.4
508,ENSG00000168447.11
509,ENSG00000111335.13
510,ENSG00000166927.13
511,ENSG00000130203.10
512,ENSG00000163536.13
513,ENSG00000156675.16
514,ENSG00000115380.20
515,ENSG00000140511.12
516,ENSG00000126878.13
517,ENSG00000137959.16
518,ENSG00000175793.12
519,ENSG00000151715.8
520,ENSG00000196747.4
521,ENSG00000125730.17
522,ENSG00000162949.16
523,ENSG00000138061.12
524,ENSG00000116741.8
525,ENSG00000196177.13
526,ENSG00000163141.20
527,ENSG00000211445.12
528,ENSG00000134028.14
529,ENSG00000120129.6
530,ENSG00000162545.6
531,ENSG00000148488.17
532,ENSG00000141668.10
533,ENSG00000184678.10
534,ENSG00000126778.12
535,ENSG00000108700.5
536,ENSG00000204262.14
537,ENSG00000124491.16
538,ENSG00000139211.7
539,ENSG00000159388.6
540,ENSG00000107984.10
541,ENSG00000122756.15
542,ENSG00000125398.8
543,ENSG00000124126.14
544,ENSG00000118523.6
545,ENSG00000179388.9
546,ENSG00000102554.14
547,ENSG00000100170.10
548,ENSG00000198682.13
549,ENSG00000103485.19
550,ENSG00000038427.16
551,ENSG00000106624.11
552,ENSG00000112996.11
553,ENSG00000096696.14
554,ENSG00000144452.15
555,ENSG00000197172.10
556,ENSG00000147889.18
557,ENSG00000088882.8
558,ENSG00000064205.10
559,ENSG00000124171.9
560,ENSG00000188783.6
561,ENSG00000244734.4
562,ENSG00000121039.10
563,ENSG00000112936.19
564,ENSG00000175264.8
565,ENSG00000087245.13
566,ENSG00000223573.7
567,ENSG00000075223.14
568,ENSG00000178568.15
569,ENSG00000141738.14
570,ENSG00000230873.9
571,ENSG00000130005.13
572,ENSG00000019102.12
573,ENSG00000071967.12
574,ENSG00000170577.8
575,ENSG00000158373.8
576,ENSG00000185133.14
577,ENSG00000109610.6
578,ENSG00000012171.20
579,ENSG00000100453.13
580,ENSG00000135114.12
581,ENSG00000117399.14
582,ENSG00000104140.7
583,ENSG00000197956.10
584,ENSG00000127129.10
585,ENSG00000170017.12
586,ENSG00000112562.19
587,ENSG00000103260.9
588,ENSG00000129151.9
589,ENSG00000134321.12
590,ENSG00000256870.3
591,ENSG00000163359.16
592,ENSG00000183044.12
593,ENSG00000153714.6
594,ENSG00000188643.11
595,ENSG00000127585.12
596,ENSG00000163520.14
597,ENSG00000164308.17
598,ENSG00000132821.12
599,ENSG00000021300.14
600,ENSG00000117228.10
601,ENSG00000143502.15
602,ENSG00000134755.17
603,ENSG00000074370.18
604,ENSG00000170369.4
605,ENSG00000187244.12
606,ENSG00000130635.16
607,ENSG00000123358.20
608,ENSG00000178935.5
609,ENSG00000134363.12
610,ENSG00000246705.4
611,ENSG00000162998.5
612,ENSG00000198732.11
613,ENSG00000181085.15
614,ENSG00000173894.11
615,ENSG00000183888.4
616,ENSG00000166670.10
617,ENSG00000129437.11
618,ENSG00000182379.10
619,ENSG00000156968.9
620,ENSG00000169583.13
621,ENSG00000126803.9
622,ENSG00000196917.6
623,ENSG00000164125.16
624,ENSG00000117154.12
625,ENSG00000123892.12
626,ENSG00000078081.8
627,ENSG00000150556.17
628,ENSG00000069702.11
629,ENSG00000135447.17
630,ENSG00000164694.17
631,ENSG00000131747.15
632,ENSG00000184811.4
633,ENSG00000161031.13
634,ENSG00000262655.4
635,ENSG00000129654.8
636,ENSG00000188404.10
637,ENSG00000143632.14
638,ENSG00000049130.16
639,ENSG00000092758.18
640,ENSG00000232629.9
641,ENSG00000129951.19
642,ENSG00000105290.13
643,ENSG00000197614.11
644,ENSG00000182326.15
645,ENSG00000164237.9
646,ENSG00000127083.7
647,ENSG00000189001.11
648,ENSG00000204140.10
649,ENSG00000172379.21
650,ENSG00000254726.3
651,ENSG00000167034.10
652,ENSG00000129451.12
653,ENSG00000141741.12
654,ENSG00000135413.9
655,ENSG00000133134.12
656,ENSG00000164120.14
657,ENSG00000198944.6
658,ENSG00000189221.10
659,ENSG00000116176.6
660,ENSG00000049089.15
661,ENSG00000008735.14
662,ENSG00000144802.11
663,ENSG00000175928.6
664,ENSG00000110492.15
665,ENSG00000132031.13
666,ENSG00000166535.20
667,ENSG00000008394.13
668,ENSG00000117148.8
669,ENSG00000120149.9
670,ENSG00000162772.17
671,ENSG00000142871.18
672,ENSG00000162444.12
673,ENSG00000150051.14
674,ENSG00000182013.18
675,ENSG00000137501.17
676,ENSG00000166780.11
677,ENSG00000108576.10
678,ENSG00000143248.13
679,ENSG00000132470.14
680,ENSG00000156219.17
681,ENSG00000120262.10
682,ENSG00000016402.13
683,ENSG00000156076.10
684,ENSG00000138080.14
685,ENSG00000131171.13
686,ENSG00000091986.16
687,ENSG00000169783.13
688,ENSG00000141574.8
689,ENSG00000166147.14
690,ENSG00000115884.11
691,ENSG00000106538.10
692,ENSG00000090104.12
693,ENSG00000173404.5
694,ENSG00000142173.16
695,ENSG00000120075.5
696,ENSG00000179344.16
697,ENSG00000069482.7
698,ENSG00000176887.7
