rank,gene_id,train_variance
1,ENSG00000110484.7,16.939688298501533
2,ENSG00000124935.4,14.668874720725382
3,ENSG00000159763.4,13.240016588132375
4,ENSG00000160182.3,13.074088566581276
5,ENSG00000143556.9,10.380535596261781
6,ENSG00000153002.12,9.869203448626259
7,ENSG00000012223.13,9.47616614180386
8,ENSG00000178372.8,9.289268768719618
9,ENSG00000166509.12,9.280644246943803
10,ENSG00000160180.15,8.970644985956563
11,ENSG00000173467.9,8.66952134202168
12,ENSG00000172551.11,8.335955763653818
13,ENSG00000181617.6,8.327437293677834
14,ENSG00000163220.11,8.251093107041832
15,ENSG00000106541.12,8.039771825523738
16,ENSG00000164128.7,7.10733803514949
17,ENSG00000186847.6,7.006539119258988
18,ENSG00000086548.9,6.90819960255835
19,ENSG00000143546.10,6.7869798238358525
20,ENSG00000186160.5,6.786947801222416
21,ENSG00000186081.12,6.607502675653656
22,ENSG00000163993.7,6.407359896222539
23,ENSG00000094755.17,6.30892807891091
24,ENSG00000124107.5,6.257065060815837
25,ENSG00000128422.17,6.211573468311626
26,ENSG00000138696.11,6.158035905437842
27,ENSG00000151892.15,6.008322554116881
28,ENSG00000205426.10,5.921721485757272
29,ENSG00000124939.6,5.911220131513247
30,ENSG00000170323.9,5.762517203281684
31,ENSG00000101443.18,5.654498564711594
32,ENSG00000104332.12,5.654087037215287
33,ENSG00000189058.9,5.599216039962818
34,ENSG00000134240.12,5.578113778319493
35,ENSG00000145824.13,5.562238652651252
36,ENSG00000242265.6,5.559722870615624
37,ENSG00000175356.14,5.469392045926282
38,ENSG00000131771.14,5.431113590520197
39,ENSG00000171428.15,5.414747939008937
40,ENSG00000091831.24,5.390630636628491
41,ENSG00000100867.15,5.3350029532590355
42,ENSG00000159212.13,5.285664273488713
43,ENSG00000132465.12,5.208453417729283
44,ENSG00000133169.6,5.1107187679316315
45,ENSG00000186832.9,5.070009950978248
46,ENSG00000113739.10,5.050264267429773
47,ENSG00000166426.8,5.036970717068881
48,ENSG00000189377.9,4.951653203266193
49,ENSG00000185479.6,4.938698290776917
50,ENSG00000156234.7,4.930235715300253
51,ENSG00000134258.17,4.915217807752815
52,ENSG00000003989.18,4.878842227691575
53,ENSG00000161634.12,4.851524773708217
54,ENSG00000109321.11,4.846805689933495
55,ENSG00000170099.6,4.836680147690775
56,ENSG00000173432.12,4.833976633121614
57,ENSG00000172724.12,4.75491986037098
58,ENSG00000162989.5,4.706491848218647
59,ENSG00000129514.8,4.6853976850622345
60,ENSG00000171346.16,4.656173814469861
61,ENSG00000100362.13,4.605919311100493
62,ENSG00000141750.7,4.594660426186242
63,ENSG00000008196.13,4.545545549363324
64,ENSG00000074410.14,4.494509326909056
65,ENSG00000105388.16,4.469254515576799
66,ENSG00000134827.8,4.437528309758484
67,ENSG00000101210.13,4.425740766080872
68,ENSG00000138755.6,4.416885862587669
69,ENSG00000156689.7,4.410244020132128
70,ENSG00000184564.11,4.408623092835295
71,ENSG00000204385.13,4.379305840630003
72,ENSG00000186377.8,4.3594880233196
73,ENSG00000096006.12,4.355703801540173
74,ENSG00000137673.9,4.342416180987004
75,ENSG00000167754.13,4.342148211184536
76,ENSG00000124664.11,4.315533567071837
77,ENSG00000170373.8,4.276813078152507
78,ENSG00000162482.5,4.236713241402515
79,ENSG00000185686.18,4.2067858455846485
80,ENSG00000117472.10,4.1897138376588
81,ENSG00000124102.5,4.181064397210058
82,ENSG00000157303.11,4.17848972522825
83,ENSG00000111341.10,4.145342123450495
84,ENSG00000069535.14,4.13961673107391
85,ENSG00000188488.14,4.113480976121315
86,ENSG00000198650.11,4.063850360426084
87,ENSG00000196611.5,4.056185571833825
88,ENSG00000160862.13,4.04065801699378
89,ENSG00000019505.8,4.004077795128291
90,ENSG00000105141.6,3.9827073264296464
91,ENSG00000133048.13,3.97823122159601
92,ENSG00000162896.6,3.946783840695824
93,ENSG00000139219.19,3.9285411750034234
94,ENSG00000084628.10,3.9274061651091317
95,ENSG00000148346.12,3.9090276752050417
96,ENSG00000171236.10,3.8915812697872494
97,ENSG00000047457.14,3.8724408093591913
98,ENSG00000082175.15,3.8645658616605028
99,ENSG00000135480.16,3.8590010146343894
100,ENSG00000263639.7,3.8489253422770204
101,ENSG00000105048.17,3.8450656471293425
102,ENSG00000164434.12,3.7957084384807156
103,ENSG00000107485.18,3.7757608051492824
104,ENSG00000148513.18,3.7672433862148478
105,ENSG00000179593.16,3.7549974071090992
106,ENSG00000134184.13,3.7351303279206616
107,ENSG00000007062.12,3.7309982693729085
108,ENSG00000136457.10,3.726606212767738
109,ENSG00000108244.17,3.721245421773875
110,ENSG00000100146.18,3.7117311785306426
111,ENSG00000138449.11,3.701442995736662
112,ENSG00000161055.4,3.6847706244308114
113,ENSG00000205420.11,3.6634065561049662
114,ENSG00000118849.10,3.659567809702645
115,ENSG00000102837.7,3.6514760866232283
116,ENSG00000132746.15,3.649440190257503
117,ENSG00000186910.4,3.6423386867143765
118,ENSG00000169347.17,3.6243915248617955
119,ENSG00000213759.10,3.6213618877306435
120,ENSG00000205002.4,3.592986271541912
121,ENSG00000137077.8,3.5861609870249818
122,ENSG00000189334.9,3.5752994490212244
123,ENSG00000129988.6,3.5728673148214964
124,ENSG00000060718.22,3.560898237657254
125,ENSG00000115648.14,3.556484197142741
126,ENSG00000197977.4,3.5560773222590196
127,ENSG00000249242.8,3.538691776630495
128,ENSG00000180730.5,3.511512319459991
129,ENSG00000108176.15,3.4998659839806874
130,ENSG00000165272.16,3.494766938164988
131,ENSG00000075461.6,3.4907366268175264
132,ENSG00000161798.7,3.4773722727974534
133,ENSG00000102854.16,3.4267231087757097
134,ENSG00000162366.8,3.423457134894705
135,ENSG00000164825.4,3.422685781481409
136,ENSG00000169900.8,3.413678546565704
137,ENSG00000151365.2,3.4071658110221206
138,ENSG00000170367.5,3.401180147239001
139,ENSG00000169245.6,3.385461443123701
140,ENSG00000163017.14,3.385390512384234
141,ENSG00000173335.5,3.372823895703233
142,ENSG00000135374.11,3.3599729821920725
143,ENSG00000158258.16,3.3513779261533503
144,ENSG00000185499.16,3.318217798538828
145,ENSG00000229453.2,3.3134962981240235
146,ENSG00000164326.5,3.3116055972830702
147,ENSG00000115255.12,3.3106770918649446
148,ENSG00000105664.11,3.3073314990147056
149,ENSG00000135346.9,3.3057833414070332
150,ENSG00000255974.8,3.2854841409924838
151,ENSG00000064886.14,3.2844251330684413
152,ENSG00000152049.6,3.2761433060699146
153,ENSG00000174827.14,3.27400472529994
154,ENSG00000102243.13,3.2634719588696406
155,ENSG00000196754.13,3.25318026414214
156,ENSG00000125999.11,3.250142654930007
157,ENSG00000141424.13,3.2449489762857326
158,ENSG00000187608.10,3.2428009605197348
159,ENSG00000157765.13,3.239475100133865
160,ENSG00000126709.15,3.2344169179267364
161,ENSG00000171102.14,3.230551315477781
162,ENSG00000138615.6,3.2160998459328227
163,ENSG00000137975.8,3.2075380492392056
164,ENSG00000106688.12,3.1988700278844706
165,ENSG00000118785.14,3.1899744965788566
166,ENSG00000106819.13,3.1783880208040545
