gene_symbol,category,gene_id,available,cox_rank,meta_cox_z
PLAUR,stroma_ecm_invasion,ENSG00000011422.12,True,13902,0.4924634819247931
MYC,core_driver_tumor_suppressor,ENSG00000136997.21,True,13947,0.4886215893775772
KRT5,basal_squamous_mesenchymal,ENSG00000186081.12,True,14155,0.46872598627751233
CD163,immune_inflammation_tgf_beta,ENSG00000177575.13,True,14217,0.4627519814635418
ARID1A,core_driver_tumor_suppressor,ENSG00000117713.20,True,14247,-0.4600585539444782
TGFB1,immune_inflammation_tgf_beta,ENSG00000105329.11,True,14307,-0.4545092832545942
TGFBR1,immune_inflammation_tgf_beta,ENSG00000106799.13,True,14405,0.44344945567828703
MMP9,stroma_ecm_invasion,ENSG00000100985.7,True,14498,-0.43550365725471085
ALDOA,hypoxia_metabolism_acinar_program,ENSG00000149925.22,True,14525,-0.43251832233719434
ITGA2,stroma_ecm_invasion,ENSG00000164171.11,True,14637,-0.42216398696227236
ZEB2,basal_squamous_mesenchymal,ENSG00000169554.22,True,14878,-0.399047642466177
PLK1,proliferation_cell_cycle_apoptosis,ENSG00000166851.15,True,14969,0.3917714874152302
DCN,stroma_ecm_invasion,ENSG00000011465.18,True,15090,0.37986074171048656
ONECUT1,classical_pancreatic_progenitor,ENSG00000169856.9,True,15241,-0.3650542783672862
COL6A2,stroma_ecm_invasion,ENSG00000142173.16,True,15265,0.36265308912646055
GNAS,core_driver_tumor_suppressor,ENSG00000087460.27,True,15467,-0.3446039488112363
COL6A1,stroma_ecm_invasion,ENSG00000142156.15,True,15615,0.3304519332979415
ATR,dna_damage_repair_therapy,ENSG00000175054.16,True,15619,-0.3301909653957202
BRAF,core_driver_tumor_suppressor,ENSG00000157764.14,True,15972,0.29887091715762243
MKI67,proliferation_cell_cycle_apoptosis,ENSG00000148773.14,True,16100,0.28836149825587387
BGN,stroma_ecm_invasion,ENSG00000182492.16,True,16303,0.26866803371892156
IL6,immune_inflammation_tgf_beta,ENSG00000136244.12,True,16547,-0.24776925738758482
ONECUT2,classical_pancreatic_progenitor,ENSG00000119547.6,True,16743,-0.2290953017572494
EPCAM,classical_pancreatic_progenitor,ENSG00000119888.11,True,17200,-0.18846396765673798
ACTA2,stroma_ecm_invasion,ENSG00000107796.13,True,17241,0.18503774536928436
BAX,proliferation_cell_cycle_apoptosis,ENSG00000087088.20,True,17469,0.16459048752800323
SMARCA4,core_driver_tumor_suppressor,ENSG00000127616.19,True,17509,0.16130618198516883
BRCA2,dna_damage_repair_therapy,ENSG00000139618.16,True,17527,-0.16017885033087012
KRT14,basal_squamous_mesenchymal,ENSG00000186847.6,True,18122,0.10980293809529079
TP63,basal_squamous_mesenchymal,ENSG00000073282.14,True,18443,-0.08292702618193257
ATM,dna_damage_repair_therapy,ENSG00000149311.19,True,19023,0.029757115565175324
