rank,gene_id,is_literature_curated,fdr_q
117,ENSG00000073111.14,True,0.8267690873360778
118,ENSG00000168925.12,True,0.8375020872507722
119,ENSG00000185499.16,True,0.8388000480696968
120,ENSG00000172023.8,True,0.8392078470358789
121,ENSG00000160181.9,True,0.8420335028922189
122,ENSG00000159399.10,True,0.8565498729347517
123,ENSG00000163513.19,True,0.8572913633617255
124,ENSG00000091409.15,True,0.8642505680672687
125,ENSG00000137392.10,True,0.865569152254165
126,ENSG00000102554.14,True,0.8676196706789293
127,ENSG00000108691.9,True,0.8738334200342004
128,ENSG00000182578.14,True,0.8763586204294435
129,ENSG00000108375.13,True,0.8891158042423934
130,ENSG00000178999.13,True,0.8903841485433271
131,ENSG00000107562.16,True,0.8909712643418827
132,ENSG00000120217.14,True,0.8909712643418827
133,ENSG00000011422.12,True,0.893529386865053
134,ENSG00000136997.21,True,0.8947041186969018
135,ENSG00000186081.12,True,0.901520177111847
136,ENSG00000177575.13,True,0.90358172398333
137,ENSG00000117713.20,True,0.9043843752205712
138,ENSG00000105329.11,True,0.9061694742946864
139,ENSG00000106799.13,True,0.9108310526482833
140,ENSG00000100985.7,True,0.9131422414924352
141,ENSG00000149925.22,True,0.9144241589767983
142,ENSG00000164171.11,True,0.9177110140959093
143,ENSG00000169554.22,True,0.9255913020455271
144,ENSG00000166851.15,True,0.9270387077675919
145,ENSG00000011465.18,True,0.9313386293808434
146,ENSG00000169856.9,True,0.9365688011894922
147,ENSG00000142173.16,True,0.9374157237142788
148,ENSG00000087460.27,True,0.9425317472318471
149,ENSG00000142156.15,True,0.9472762392463295
150,ENSG00000175054.16,True,0.9473683170190905
151,ENSG00000157764.14,True,0.9560693034173082
152,ENSG00000148773.14,True,0.9585108116916231
153,ENSG00000182492.16,True,0.9650285040317689
154,ENSG00000136244.12,True,0.9703085125126704
155,ENSG00000119547.6,True,0.976031544527185
156,ENSG00000119888.11,True,0.9870443957015076
157,ENSG00000107796.13,True,0.9877409952131935
158,ENSG00000087088.20,True,0.9931126876009626
159,ENSG00000127616.19,True,0.9938533223980056
160,ENSG00000139618.16,True,0.9939070092917875
161,ENSG00000186847.6,True,1.0
162,ENSG00000073282.14,True,1.0
163,ENSG00000149311.19,True,1.0
164,ENSG00000286014.1,False,9.87669380485107e-16
165,ENSG00000145626.12,False,5.594512698726848e-05
166,ENSG00000130283.9,False,0.0018983438077284337
167,ENSG00000162878.13,False,0.004069415451947533
168,ENSG00000166387.13,False,0.0053143975170022355
169,ENSG00000120211.4,False,0.005937365677004556
170,ENSG00000137962.13,False,0.02675827005800486
171,ENSG00000254834.4,False,0.031224049968817655
172,ENSG00000104870.13,False,0.03407823752492995
173,ENSG00000215545.1,False,0.037406446699099885
174,ENSG00000203923.5,False,0.037406446699099885
175,ENSG00000187796.15,False,0.0684535107593146
176,ENSG00000134324.12,False,0.0684535107593146
177,ENSG00000167617.3,False,0.0684535107593146
178,ENSG00000160285.15,False,0.0684535107593146
179,ENSG00000159110.20,False,0.0684535107593146
180,ENSG00000198734.12,False,0.0684535107593146
181,ENSG00000149136.9,False,0.0684535107593146
182,ENSG00000085265.11,False,0.06884703225503042
183,ENSG00000165140.11,False,0.08746536269579586
184,ENSG00000035664.11,False,0.08746536269579586
185,ENSG00000268223.6,False,0.08746536269579586
186,ENSG00000147874.11,False,0.08746536269579586
187,ENSG00000264364.3,False,0.08746536269579586
188,ENSG00000162670.11,False,0.08746536269579586
189,ENSG00000232399.4,False,0.08746536269579586
190,ENSG00000182652.4,False,0.08746536269579586
191,ENSG00000184110.15,False,0.09162084173502343
192,ENSG00000166415.15,False,0.09162084173502343
193,ENSG00000174780.17,False,0.09605718142165179
194,ENSG00000205765.9,False,0.09605718142165179
195,ENSG00000115761.16,False,0.09605718142165179
196,ENSG00000164284.15,False,0.09605718142165179
197,ENSG00000141682.12,False,0.09605718142165179
198,ENSG00000135587.9,False,0.09605718142165179
199,ENSG00000129152.4,False,0.09605718142165179
200,ENSG00000169116.11,False,0.09605718142165179
201,ENSG00000162594.16,False,0.09605718142165179
202,ENSG00000114416.18,False,0.09605718142165179
203,ENSG00000198246.9,False,0.09605718142165179
204,ENSG00000113460.13,False,0.09605718142165179
205,ENSG00000206560.11,False,0.09605718142165179
206,ENSG00000110876.10,False,0.09605718142165179
207,ENSG00000244588.5,False,0.09605718142165179
208,ENSG00000080608.10,False,0.09605718142165179
209,ENSG00000124383.9,False,0.09605718142165179
210,ENSG00000133063.16,False,0.09605718142165179
211,ENSG00000100625.9,False,0.09605718142165179
212,ENSG00000171405.12,False,0.09605718142165179
213,ENSG00000103174.13,False,0.09605718142165179
