gene_id,gene_symbol,rank,pattern
ENSG00000169583.13,CLIC3,36.3916185288961,CUG
ENSG00000153822.14,KCNJ16,-36.3540067282963,CDG
ENSG00000116106.12,EPHA4,36.2901323920848,CUG
ENSG00000076555.15,ACACB,-36.2312832996642,CDG
ENSG00000074590.13,NUAK1,36.1676329800373,CUG
ENSG00000156298.13,TSPAN7,-36.0844918696008,CDG
ENSG00000149735.7,GPHA2,-35.9488892651687,CDG
ENSG00000168679.18,SLC16A4,35.9283777404781,CUG
ENSG00000185432.12,METTL7A,-35.8852716056282,CDG
ENSG00000164465.19,DCBLD1,35.8278316351895,CUG
ENSG00000215704.10,CELA2B,-35.6988845191572,CDG
ENSG00000074657.14,ZNF532,35.5831586558575,CUG
ENSG00000198901.14,PRC1,35.5368713112361,CUG
ENSG00000168491.10,CCDC110,-35.4710803604395,CDG
ENSG00000169679.15,BUB1,35.4538352025668,CUG
ENSG00000102554.14,KLF5,35.3886961216172,CUG
ENSG00000111335.13,OAS2,35.3875891302627,CUG
ENSG00000165434.8,PGM2L1,35.3151062059053,CUG
ENSG00000181143.15,MUC16,35.2849176862773,CUG
ENSG00000147394.18,ZNF185,35.260568604665,CUG
ENSG00000134333.14,LDHA,35.2594459473888,CUG
ENSG00000103089.9,FA2H,35.1995990891311,CUG
ENSG00000148935.11,GAS2,-35.1258948380367,CDG
ENSG00000103942.13,HOMER2,-35.0482229081547,CDG
ENSG00000172927.8,MYEOV,34.9673310720435,CUG
ENSG00000108679.13,LGALS3BP,34.9508822952105,CUG
ENSG00000082781.12,ITGB5,34.9490970937438,CUG
ENSG00000015413.9,DPEP1,-34.9456887175958,CDG
ENSG00000120093.11,HOXB3,34.9100346313918,CUG
ENSG00000169752.17,NRG4,-34.9001458274509,CDG
ENSG00000132965.10,ALOX5AP,34.8486113602962,CUG
ENSG00000050344.9,NFE2L3,34.7844711745982,CUG
ENSG00000158014.15,SLC30A2,-34.7125709327567,CDG
ENSG00000146039.11,SLC17A4,-34.7119895608553,CDG
ENSG00000143196.5,DPT,-34.6956602812231,CDG
ENSG00000182010.11,RTKN2,34.63568723901,CUG
ENSG00000135447.17,PPP1R1A,-34.6233406168595,CDG
ENSG00000170500.13,LONRF2,-34.5561092575219,CDG
ENSG00000075275.18,CELSR1,34.4558153867383,CUG
ENSG00000147576.17,ADHFE1,-34.4430654049989,CDG
