rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,meta_cox_z,meta_cox_p,direction
15,ENSG00000168062.10,91,50,4.370372446558053,1.240347923533355e-05,4.370372446558053,1.2403479235333537e-05,higher_expr_higher_risk
16,ENSG00000270765.6,91,50,4.347536665747788,1.3767506064617345e-05,4.347536665747788,1.3767506064617333e-05,higher_expr_higher_risk
17,ENSG00000046774.10,91,50,4.3268316629146835,1.512694785207784e-05,4.3268316629146835,1.5126947852077824e-05,higher_expr_higher_risk
18,ENSG00000174564.13,91,50,4.2568316055538284,2.073444080619159e-05,4.2568316055538284,2.073444080619154e-05,higher_expr_higher_risk
19,ENSG00000176566.5,91,50,4.244505429504373,2.1907606348971913e-05,4.244505429504373,2.1907606348971916e-05,higher_expr_higher_risk
20,ENSG00000130303.13,91,50,4.1439812300413275,3.413276939897801e-05,4.1439812300413275,3.413276939897796e-05,higher_expr_higher_risk
21,ENSG00000048544.6,91,50,4.119517092778585,3.79667260984524e-05,4.119517092778585,3.796672609845231e-05,higher_expr_higher_risk
22,ENSG00000271447.6,91,50,4.108836347793865,3.976577326117729e-05,4.108836347793865,3.976577326117721e-05,higher_expr_higher_risk
23,ENSG00000130487.9,91,50,4.073632434462077,4.62855117288732e-05,4.073632434462077,4.6285511728873165e-05,higher_expr_higher_risk
24,ENSG00000198826.11,91,50,4.0515172309494405,5.0886577813079644e-05,4.0515172309494405,5.088657781307955e-05,higher_expr_higher_risk
