gene_symbol,category,gene_id,available,cox_rank,meta_cox_z
TFF2,classical_pancreatic_progenitor,ENSG00000160181.9,True,16557,0.24462775596762498
MYC,core_driver_tumor_suppressor,ENSG00000136997.21,True,16568,-0.24400556495867903
CPA2,hypoxia_metabolism_acinar_program,ENSG00000158516.12,True,16711,0.23122882419143564
KDM6A,core_driver_tumor_suppressor,ENSG00000147050.16,True,16741,0.22851355222685513
TGFB1,immune_inflammation_tgf_beta,ENSG00000105329.11,True,16928,-0.21116144993022468
HNF4A,classical_pancreatic_progenitor,ENSG00000101076.17,True,16956,-0.20733042602364235
MUC5AC,classical_pancreatic_progenitor,ENSG00000215182.8,True,16968,0.20641979663407561
SMARCA4,core_driver_tumor_suppressor,ENSG00000127616.19,True,17121,-0.19338901901635386
HNF4G,classical_pancreatic_progenitor,ENSG00000164749.13,True,17152,-0.19017709100330993
POSTN,stroma_ecm_invasion,ENSG00000133110.15,True,17277,0.17994635923848132
CSF1R,immune_inflammation_tgf_beta,ENSG00000182578.14,True,17349,-0.1724996760163803
CTRB2,hypoxia_metabolism_acinar_program,ENSG00000168928.13,True,17410,0.16635401605907987
PIK3CA,core_driver_tumor_suppressor,ENSG00000121879.6,True,17622,-0.1482919232813764
PNLIP,hypoxia_metabolism_acinar_program,ENSG00000175535.6,True,17678,0.14279953517908556
CASP3,proliferation_cell_cycle_apoptosis,ENSG00000164305.19,True,17688,0.14122873416856924
CD68,immune_inflammation_tgf_beta,ENSG00000129226.14,True,17760,-0.13544108544011685
CPB1,hypoxia_metabolism_acinar_program,ENSG00000153002.12,True,17799,0.13145077647657152
PTEN,core_driver_tumor_suppressor,ENSG00000171862.11,True,17961,-0.11810637310970615
CPA1,hypoxia_metabolism_acinar_program,ENSG00000091704.10,True,17997,0.11479110478101304
TGFBR1,immune_inflammation_tgf_beta,ENSG00000106799.13,True,18141,-0.10147177435677442
DCN,stroma_ecm_invasion,ENSG00000011465.18,True,18206,0.09613283974376827
CDKN2A,core_driver_tumor_suppressor,ENSG00000147889.18,True,18231,0.09360821429647384
