rank,gene_id,is_literature_curated,fdr_q
117,ENSG00000118046.16,True,0.9427856246244075
118,ENSG00000142156.15,True,0.9443321075479154
119,ENSG00000185479.6,True,0.9450293827781954
120,ENSG00000170608.3,True,0.9450293827781954
121,ENSG00000183765.23,True,0.9476540728694854
122,ENSG00000148516.22,True,0.9503021018762895
123,ENSG00000107796.13,True,0.966655138889274
124,ENSG00000160181.9,True,0.9725152808044234
125,ENSG00000136997.21,True,0.9725890627539742
126,ENSG00000158516.12,True,0.9761049343046715
127,ENSG00000147050.16,True,0.9768716950236843
128,ENSG00000105329.11,True,0.9820054676529437
129,ENSG00000101076.17,True,0.9838400249702995
130,ENSG00000215182.8,True,0.9839371139259028
131,ENSG00000127616.19,True,0.9871440936912195
132,ENSG00000164749.13,True,0.9881931455956527
133,ENSG00000133110.15,True,0.9902638302599344
134,ENSG00000182578.14,True,0.9930312191868765
135,ENSG00000168928.13,True,0.9950940731000636
136,ENSG00000121879.6,True,0.9991420682592315
137,ENSG00000175535.6,True,1.0
138,ENSG00000164305.19,True,1.0
139,ENSG00000129226.14,True,1.0
140,ENSG00000153002.12,True,1.0
141,ENSG00000171862.11,True,1.0
142,ENSG00000091704.10,True,1.0
143,ENSG00000106799.13,True,1.0
144,ENSG00000011465.18,True,1.0
145,ENSG00000147889.18,True,1.0
146,ENSG00000168925.12,True,1.0
147,ENSG00000184371.14,True,1.0
148,ENSG00000182492.16,True,1.0
149,ENSG00000169429.11,True,1.0
150,ENSG00000147883.12,True,1.0
151,ENSG00000163513.19,True,1.0
152,ENSG00000137801.11,True,1.0
153,ENSG00000137392.10,True,1.0
154,ENSG00000087460.27,True,1.0
155,ENSG00000092969.12,True,1.0
156,ENSG00000135100.18,True,1.0
157,ENSG00000105388.16,True,1.0
158,ENSG00000141510.18,True,1.0
159,ENSG00000116062.17,True,1.0
160,ENSG00000124216.4,True,1.0
161,ENSG00000130675.15,True,1.0
162,ENSG00000204983.14,True,1.0
163,ENSG00000108821.14,True,1.0
164,ENSG00000234560.4,False,7.05432689254562e-07
165,ENSG00000215545.1,False,7.05432689254562e-07
166,ENSG00000118491.10,False,1.795468543767362e-06
167,ENSG00000197123.9,False,1.1467238157225e-05
168,ENSG00000155495.9,False,1.2546149525494428e-05
169,ENSG00000282815.1,False,0.00023331938368283058
170,ENSG00000253548.1,False,0.0004587598321657004
171,ENSG00000184735.7,False,0.0006496233585174582
172,ENSG00000133321.11,False,0.004408649178455352
