rank,gene_id,is_literature_curated
213,ENSG00000139211.7,False
214,ENSG00000172464.3,False
215,ENSG00000041357.16,False
216,ENSG00000100911.16,False
217,ENSG00000180787.6,False
218,ENSG00000108509.21,False
219,ENSG00000167656.5,False
220,ENSG00000122375.12,False
221,ENSG00000198105.15,False
222,ENSG00000156587.16,False
223,ENSG00000197172.10,False
224,ENSG00000128714.6,False
225,ENSG00000097007.19,False
226,ENSG00000070061.16,False
227,ENSG00000158825.6,False
228,ENSG00000125633.11,False
229,ENSG00000164532.11,False
230,ENSG00000134775.15,False
231,ENSG00000111700.13,False
232,ENSG00000181381.14,False
233,ENSG00000177303.10,False
234,ENSG00000154265.16,False
235,ENSG00000165949.12,False
236,ENSG00000171202.7,False
237,ENSG00000117501.14,False
238,ENSG00000050344.9,False
239,ENSG00000286102.1,False
240,ENSG00000087502.18,False
241,ENSG00000184752.13,False
242,ENSG00000010318.21,False
243,ENSG00000089127.14,False
244,ENSG00000258453.3,False
245,ENSG00000148411.8,False
246,ENSG00000165699.15,False
247,ENSG00000206075.14,False
248,ENSG00000189280.3,False
249,ENSG00000119283.15,False
250,ENSG00000180354.16,False
251,ENSG00000183691.6,False
252,ENSG00000135114.12,False
253,ENSG00000128944.13,False
254,ENSG00000267740.5,False
255,ENSG00000148396.18,False
256,ENSG00000137807.16,False
257,ENSG00000138778.13,False
258,ENSG00000149639.15,False
259,ENSG00000184677.18,False
260,ENSG00000140464.20,False
261,ENSG00000204264.12,False
262,ENSG00000092010.15,False
263,ENSG00000177476.3,False
264,ENSG00000108878.5,False
265,ENSG00000196260.5,False
266,ENSG00000104827.12,False
267,ENSG00000047056.16,False
268,ENSG00000186393.5,False
269,ENSG00000182718.18,False
270,ENSG00000184619.8,False
271,ENSG00000160408.15,False
272,ENSG00000162654.9,False
273,ENSG00000115221.12,False
274,ENSG00000064195.7,False
275,ENSG00000177576.12,False
276,ENSG00000166069.13,False
277,ENSG00000213030.5,False
278,ENSG00000141337.12,False
279,ENSG00000100307.13,False
280,ENSG00000198573.7,False
281,ENSG00000106829.20,False
282,ENSG00000137628.17,False
283,ENSG00000141258.13,False
284,ENSG00000102144.15,False
285,ENSG00000196781.16,False
286,ENSG00000145354.12,False
287,ENSG00000288674.1,False
288,ENSG00000108389.9,False
289,ENSG00000188910.8,False
290,ENSG00000141084.11,False
291,ENSG00000068079.8,False
292,ENSG00000196388.8,False
293,ENSG00000114686.9,False
294,ENSG00000119402.17,False
295,ENSG00000134452.20,False
296,ENSG00000119917.14,False
297,ENSG00000125848.10,False
298,ENSG00000268655.2,False
299,ENSG00000163914.5,False
300,ENSG00000074755.15,False
301,ENSG00000114423.23,False
302,ENSG00000134146.12,False
303,ENSG00000107021.16,False
304,ENSG00000174238.15,False
305,ENSG00000067225.18,False
306,ENSG00000184205.14,False
307,ENSG00000138594.14,False
308,ENSG00000204703.5,False
309,ENSG00000134321.12,False
310,ENSG00000147394.18,False
311,ENSG00000138496.16,False
312,ENSG00000204267.16,False
313,ENSG00000170632.14,False
314,ENSG00000126787.13,False
315,ENSG00000011426.11,False
316,ENSG00000134757.5,False
317,ENSG00000010030.14,False
318,ENSG00000146267.12,False
319,ENSG00000100425.18,False
320,ENSG00000215041.10,False
321,ENSG00000180043.11,False
322,ENSG00000283992.2,False
323,ENSG00000157456.8,False
324,ENSG00000136514.3,False
325,ENSG00000170100.14,False
326,ENSG00000056558.11,False
327,ENSG00000138777.20,False
328,ENSG00000125266.8,False
329,ENSG00000130517.14,False
330,ENSG00000205981.8,False
331,ENSG00000160785.13,False
332,ENSG00000132510.10,False
333,ENSG00000239306.5,False
334,ENSG00000160199.15,False
335,ENSG00000006451.8,False
336,ENSG00000166902.5,False
337,ENSG00000138182.15,False
338,ENSG00000134365.13,False
339,ENSG00000067334.14,False
340,ENSG00000206013.2,False
341,ENSG00000152127.9,False
342,ENSG00000198464.14,False
343,ENSG00000160201.12,False
344,ENSG00000226490.2,False
345,ENSG00000100526.20,False
346,ENSG00000076248.11,False
347,ENSG00000114790.13,False
348,ENSG00000104826.15,False
349,ENSG00000029153.14,False
350,ENSG00000203933.3,False
351,ENSG00000168131.4,False
352,ENSG00000005379.17,False
353,ENSG00000152102.18,False
354,ENSG00000189108.13,False
355,ENSG00000124251.11,False
356,ENSG00000173898.14,False
357,ENSG00000104818.15,False
358,ENSG00000149948.14,False
359,ENSG00000137812.20,False
360,ENSG00000164530.15,False
361,ENSG00000103769.10,False
362,ENSG00000143772.9,False
363,ENSG00000148343.18,False
364,ENSG00000213380.16,False
365,ENSG00000096093.16,False
366,ENSG00000173085.15,False
367,ENSG00000121579.13,False
368,ENSG00000133424.22,False
369,ENSG00000104312.8,False
370,ENSG00000116663.11,False
371,ENSG00000104848.1,False
372,ENSG00000152056.17,False
373,ENSG00000173698.18,False
374,ENSG00000064300.9,False
375,ENSG00000090889.12,False
376,ENSG00000188257.12,False
377,ENSG00000068024.17,False
378,ENSG00000183671.12,False
379,ENSG00000160932.11,False
380,ENSG00000030110.13,False
381,ENSG00000166432.15,False
382,ENSG00000145879.11,False
383,ENSG00000263264.2,False
384,ENSG00000162889.11,False
385,ENSG00000178971.16,False
386,ENSG00000147324.11,False
387,ENSG00000183840.7,False
388,ENSG00000213512.3,False
389,ENSG00000138642.15,False
390,ENSG00000104783.14,False
391,ENSG00000173418.12,False
392,ENSG00000188100.9,False
393,ENSG00000004487.17,False
394,ENSG00000102178.13,False
395,ENSG00000128313.2,False
396,ENSG00000187742.15,False
397,ENSG00000135318.12,False
398,ENSG00000135945.10,False
399,ENSG00000178904.19,False
400,ENSG00000068438.15,False
401,ENSG00000168356.13,False
402,ENSG00000137831.15,False
403,ENSG00000174469.23,False
404,ENSG00000157350.13,False
405,ENSG00000115107.20,False
406,ENSG00000112984.12,False
407,ENSG00000198843.13,False
408,ENSG00000196597.13,False
409,ENSG00000135709.12,False
410,ENSG00000198837.10,False
411,ENSG00000213719.8,False
412,ENSG00000129221.16,False
413,ENSG00000161653.11,False
414,ENSG00000169248.13,False
415,ENSG00000180626.10,False
416,ENSG00000189433.7,False
417,ENSG00000088325.16,False
418,ENSG00000121316.11,False
419,ENSG00000142794.19,False
420,ENSG00000111335.13,False
421,ENSG00000004455.17,False
422,ENSG00000124733.5,False
423,ENSG00000019485.13,False
424,ENSG00000119737.6,False
425,ENSG00000177150.13,False
426,ENSG00000114209.15,False
427,ENSG00000065717.15,False
428,ENSG00000196152.10,False
