rank,gene_id
246,ENSG00000006071.15
247,ENSG00000145642.12
248,ENSG00000130487.9
249,ENSG00000243566.7
250,ENSG00000124939.6
251,ENSG00000139540.12
252,ENSG00000160862.13
253,ENSG00000116299.17
254,ENSG00000171766.17
255,ENSG00000115590.14
256,ENSG00000106178.7
257,ENSG00000101938.15
258,ENSG00000105825.14
259,ENSG00000189280.3
260,ENSG00000118137.10
261,ENSG00000109072.14
262,ENSG00000163501.7
263,ENSG00000110195.14
264,ENSG00000164761.9
265,ENSG00000100665.12
266,ENSG00000198488.10
267,ENSG00000108551.5
268,ENSG00000074276.10
269,ENSG00000130176.8
270,ENSG00000173702.7
271,ENSG00000158874.11
272,ENSG00000174502.19
273,ENSG00000101443.18
274,ENSG00000137699.17
275,ENSG00000054356.14
276,ENSG00000138615.6
277,ENSG00000073756.12
278,ENSG00000169894.18
279,ENSG00000104267.10
280,ENSG00000186340.16
281,ENSG00000145824.13
282,ENSG00000099834.19
283,ENSG00000102970.11
284,ENSG00000171234.14
285,ENSG00000198848.13
286,ENSG00000166535.20
287,ENSG00000180745.5
288,ENSG00000047457.14
289,ENSG00000109255.11
290,ENSG00000017483.15
291,ENSG00000173597.9
292,ENSG00000166143.10
293,ENSG00000203697.12
294,ENSG00000104918.8
295,ENSG00000153822.14
296,ENSG00000170369.4
297,ENSG00000188505.5
298,ENSG00000188536.13
299,ENSG00000173237.4
300,ENSG00000022556.16
301,ENSG00000187608.10
302,ENSG00000196154.12
303,ENSG00000133328.4
304,ENSG00000070526.15
305,ENSG00000100721.11
306,ENSG00000164816.8
307,ENSG00000113296.14
308,ENSG00000136155.17
309,ENSG00000157765.13
310,ENSG00000198502.6
311,ENSG00000179674.4
312,ENSG00000187258.14
313,ENSG00000130203.10
314,ENSG00000102243.13
315,ENSG00000204866.8
316,ENSG00000124713.6
317,ENSG00000126353.3
318,ENSG00000126709.15
319,ENSG00000104537.17
320,ENSG00000146469.13
321,ENSG00000157551.19
322,ENSG00000123689.6
323,ENSG00000227507.3
324,ENSG00000162482.5
325,ENSG00000135480.16
326,ENSG00000188175.10
327,ENSG00000134184.13
328,ENSG00000129654.8
329,ENSG00000182253.15
330,ENSG00000091583.11
331,ENSG00000145287.11
332,ENSG00000162992.4
333,ENSG00000101188.5
334,ENSG00000122133.17
335,ENSG00000154764.6
336,ENSG00000205362.11
337,ENSG00000118017.4
338,ENSG00000124664.11
339,ENSG00000131203.13
340,ENSG00000170476.16
341,ENSG00000104332.12
342,ENSG00000104827.12
343,ENSG00000172061.9
344,ENSG00000243449.6
345,ENSG00000123500.10
346,ENSG00000166923.12
347,ENSG00000102802.10
348,ENSG00000064300.9
349,ENSG00000106809.11
350,ENSG00000110244.7
351,ENSG00000186007.10
352,ENSG00000163220.11
353,ENSG00000204616.11
354,ENSG00000142102.16
355,ENSG00000140297.13
356,ENSG00000101210.13
357,ENSG00000197766.8
358,ENSG00000185559.16
359,ENSG00000188404.10
360,ENSG00000012817.16
361,ENSG00000106541.12
362,ENSG00000127324.9
363,ENSG00000130208.9
364,ENSG00000114270.17
365,ENSG00000075461.6
366,ENSG00000167757.14
367,ENSG00000166819.12
368,ENSG00000163121.10
369,ENSG00000164308.17
370,ENSG00000101197.13
371,ENSG00000172927.8
372,ENSG00000149735.7
373,ENSG00000183128.7
374,ENSG00000124107.5
375,ENSG00000169429.11
376,ENSG00000120885.22
377,ENSG00000114771.14
378,ENSG00000113303.12
379,ENSG00000115414.21
380,ENSG00000137673.9
381,ENSG00000015413.9
382,ENSG00000128564.7
383,ENSG00000196616.14
384,ENSG00000184502.4
385,ENSG00000187288.12
386,ENSG00000166866.13
387,ENSG00000163661.4
388,ENSG00000002726.21
389,ENSG00000124212.6
390,ENSG00000145113.22
391,ENSG00000173110.8
392,ENSG00000100170.10
393,ENSG00000169994.18
394,ENSG00000140835.10
395,ENSG00000069764.10
396,ENSG00000086619.14
397,ENSG00000198842.10
398,ENSG00000117394.24
399,ENSG00000146678.10
400,ENSG00000162078.11
401,ENSG00000175426.11
402,ENSG00000181092.10
403,ENSG00000265190.7
404,ENSG00000177494.6
405,ENSG00000148344.11
406,ENSG00000133110.15
407,ENSG00000162894.12
408,ENSG00000145920.15
409,ENSG00000109205.16
410,ENSG00000064787.13
411,ENSG00000159248.5
412,ENSG00000127831.11
413,ENSG00000166592.12
414,ENSG00000166126.11
415,ENSG00000177455.15
416,ENSG00000183844.17
417,ENSG00000173391.9
418,ENSG00000196436.8
419,ENSG00000204019.5
420,ENSG00000148677.7
421,ENSG00000177459.11
422,ENSG00000105664.11
423,ENSG00000205922.5
424,ENSG00000188338.15
425,ENSG00000133063.16
426,ENSG00000180818.5
427,ENSG00000163975.12
428,ENSG00000054938.16
429,ENSG00000169605.7
430,ENSG00000081277.13
431,ENSG00000189292.16
432,ENSG00000128298.17
433,ENSG00000107742.13
434,ENSG00000131910.5
435,ENSG00000120738.8
436,ENSG00000163739.5
437,ENSG00000262406.3
438,ENSG00000106366.9
439,ENSG00000133048.13
440,ENSG00000168685.15
441,ENSG00000176387.7
442,ENSG00000109321.11
443,ENSG00000260314.3
444,ENSG00000135925.9
445,ENSG00000165949.12
446,ENSG00000198758.11
447,ENSG00000107562.16
448,ENSG00000015520.15
449,ENSG00000205426.10
450,ENSG00000111799.21
451,ENSG00000181374.8
