rank,gene_id,train_variance
1,ENSG00000175535.6,23.295816490073577
2,ENSG00000091704.10,20.258728988414923
3,ENSG00000137392.10,18.131321449645807
4,ENSG00000170890.14,18.11490058420755
5,ENSG00000168928.13,17.84756694791357
6,ENSG00000153002.12,17.711661329837497
7,ENSG00000204983.14,17.46549541761875
8,ENSG00000168925.12,16.594093742889047
9,ENSG00000172016.16,16.02235766612841
10,ENSG00000158516.12,15.960912508398954
11,ENSG00000275896.6,15.291364371100414
12,ENSG00000170835.16,15.28490483394802
13,ENSG00000179751.7,15.018176906335261
14,ENSG00000172023.8,13.87250166088376
15,ENSG00000162438.12,13.867023988121666
16,ENSG00000108849.8,13.458545674052564
17,ENSG00000142615.8,13.361561649446132
18,ENSG00000169347.17,13.238299249632112
19,ENSG00000115386.6,13.131228825506323
20,ENSG00000254647.7,12.499168190776604
21,ENSG00000115263.15,12.443949417840523
22,ENSG00000243480.7,12.302049902075764
23,ENSG00000096088.16,11.724447914557539
24,ENSG00000219073.8,10.775510642984964
25,ENSG00000118271.12,10.272289628822207
26,ENSG00000215704.10,9.389054313655894
27,ENSG00000143954.13,9.353344941946899
28,ENSG00000129824.16,8.88045351072598
29,ENSG00000134193.15,8.652376106414726
30,ENSG00000132693.12,8.287154997863297
31,ENSG00000160182.3,7.489422716270125
32,ENSG00000187021.15,7.43947377209129
33,ENSG00000066405.13,7.19078003178728
34,ENSG00000157005.4,6.442209498510032
35,ENSG00000167653.5,6.397869893443159
36,ENSG00000142789.20,6.360328775367299
37,ENSG00000105388.16,6.278379841110938
38,ENSG00000132703.4,6.19914300072884
39,ENSG00000175084.12,6.195610812998764
40,ENSG00000102837.7,6.098256977452779
41,ENSG00000205420.11,6.065587783464371
42,ENSG00000096006.12,5.957254170605051
43,ENSG00000181617.6,5.923843055148209
44,ENSG00000122711.9,5.914086476371948
45,ENSG00000160181.9,5.577902855785466
46,ENSG00000185615.16,5.473429827109418
47,ENSG00000196754.13,5.431038389767388
48,ENSG00000167748.11,5.41641027846507
49,ENSG00000168631.13,5.251292152659015
50,ENSG00000103375.11,5.242862456379278
51,ENSG00000100604.13,5.158275600508387
52,ENSG00000106927.12,5.051157011044594
53,ENSG00000184956.16,4.96143443736024
54,ENSG00000089199.10,4.952393326872028
55,ENSG00000160180.15,4.826746689525791
56,ENSG00000179914.5,4.7934675310471295
57,ENSG00000186081.12,4.6873867733579955
58,ENSG00000171431.4,4.6205599782637945
59,ENSG00000120057.5,4.597452674288108
60,ENSG00000107159.13,4.401490216393942
61,ENSG00000169469.9,4.367686220104899
62,ENSG00000167656.5,4.35894727679958
63,ENSG00000215182.8,4.319501545239018
64,ENSG00000109511.12,4.300270315923236
65,ENSG00000188257.12,4.255922390115488
66,ENSG00000172724.12,4.252354359688426
67,ENSG00000189377.9,4.182066591053678
68,ENSG00000094755.17,4.1763996653428155
69,ENSG00000079689.14,4.164981021109902
70,ENSG00000187908.20,4.154082627718827
71,ENSG00000196611.5,4.107404764995185
72,ENSG00000012223.13,4.060193351999341
73,ENSG00000164266.11,4.058772169308277
74,ENSG00000134240.12,4.0260589238173035
75,ENSG00000132465.12,3.9664117572539044
76,ENSG00000156234.7,3.9632912128569586
77,ENSG00000169474.4,3.9328540807431605
78,ENSG00000137077.8,3.916202499795017
79,ENSG00000101842.14,3.913069605529546
80,ENSG00000175315.3,3.900876162007575
81,ENSG00000169035.12,3.8596756501725555
82,ENSG00000007306.15,3.8416431939408473
83,ENSG00000121351.8,3.84094320245269
84,ENSG00000240038.6,3.813458339544594
85,ENSG00000128422.17,3.803741429104886
86,ENSG00000186832.9,3.792930952741575
87,ENSG00000189052.7,3.782094872284087
88,ENSG00000145321.13,3.7812487681357605
89,ENSG00000186847.6,3.7524871266097484
90,ENSG00000163735.7,3.723254359290998
91,ENSG00000163017.14,3.717831820674961
92,ENSG00000117322.18,3.6236125542713498
93,ENSG00000170323.9,3.5800175666410503
94,ENSG00000142623.11,3.576076307065567
95,ENSG00000197353.4,3.573847001607451
96,ENSG00000233041.8,3.5321347207578455
97,ENSG00000164756.12,3.519888289564616
98,ENSG00000170373.8,3.5023854414545563
99,ENSG00000114204.15,3.501975679272632
100,ENSG00000139055.7,3.4988942768103004
101,ENSG00000073737.17,3.4987171986499455
102,ENSG00000102109.9,3.462424781246974
103,ENSG00000171560.16,3.406068197610302
104,ENSG00000162896.6,3.3683797635671584
105,ENSG00000140274.14,3.3540516449018503
106,ENSG00000105369.10,3.347156761097059
107,ENSG00000167755.15,3.340642284422374
108,ENSG00000163209.15,3.319761504801199
109,ENSG00000152254.11,3.31815613196473
110,ENSG00000162344.4,3.212763669924312
111,ENSG00000124102.5,3.211802926794166
112,ENSG00000161055.4,3.1816604205495898
113,ENSG00000133169.6,3.1786503538784676
114,ENSG00000079112.10,3.17352097981834
115,ENSG00000080493.18,3.1710855622477734
116,ENSG00000163631.17,3.1545084526429132
117,ENSG00000263639.7,3.1442223109149294
118,ENSG00000140279.13,3.142489433045653
119,ENSG00000016490.16,3.1307866791168117
120,ENSG00000001626.16,3.1040916048972194
121,ENSG00000198074.10,3.0986634215670836
122,ENSG00000102854.16,3.087024269376429
123,ENSG00000112936.19,3.086395476510509
124,ENSG00000168955.4,3.084966387218487
125,ENSG00000134827.8,3.077227646157387
126,ENSG00000065618.21,3.068364014491135
127,ENSG00000173432.12,3.066413696261474
128,ENSG00000171557.17,3.0557752192619168
129,ENSG00000149043.16,3.0356171165922343
130,ENSG00000039537.14,2.965046446408698
131,ENSG00000010438.17,2.941596226947219
132,ENSG00000169903.7,2.929628196502489
133,ENSG00000161798.7,2.9284557048222295
134,ENSG00000198643.7,2.9007026452005813
135,ENSG00000196620.10,2.886098064623764
136,ENSG00000243709.1,2.881814611846166
137,ENSG00000086548.9,2.880867109942078
138,ENSG00000125999.11,2.8596454528346276
139,ENSG00000125144.14,2.830112004110407
140,ENSG00000198788.9,2.8299708716108998
141,ENSG00000164825.4,2.817773035515218
142,ENSG00000130598.16,2.7774375715168302
143,ENSG00000170099.6,2.7756579047025123
144,ENSG00000095981.11,2.7422674195298065
145,ENSG00000117983.17,2.707942047344286
146,ENSG00000124232.11,2.670028743391675
147,ENSG00000163993.7,2.64680753859124
148,ENSG00000123838.11,2.637148701593071
149,ENSG00000198203.10,2.634433100908967
150,ENSG00000114638.8,2.6342577849738777
151,ENSG00000188488.14,2.6280343501801147
152,ENSG00000156738.18,2.626867502602493
153,ENSG00000132821.12,2.6208710384918894
154,ENSG00000104112.9,2.60352654453035
155,ENSG00000275385.2,2.588990369306552
156,ENSG00000248144.6,2.58686652789627
157,ENSG00000166922.8,2.557396567188899
158,ENSG00000019169.10,2.5521568125356655
159,ENSG00000213088.12,2.54860445091454
160,ENSG00000085741.13,2.5442951051181537
161,ENSG00000131746.13,2.53825100687778
162,ENSG00000128218.8,2.5328946028739208
163,ENSG00000136872.20,2.5264762053818113
164,ENSG00000143320.9,2.5065982583816018
165,ENSG00000171747.9,2.503157643417859
166,ENSG00000060718.22,2.4991321756978424
167,ENSG00000090382.7,2.4919634584537698
168,ENSG00000147689.16,2.471593534916413
169,ENSG00000067048.17,2.449545838816133
170,ENSG00000118785.14,2.440679134089303
171,ENSG00000171401.15,2.4288090806729477
172,ENSG00000174564.13,2.425271862229319
173,ENSG00000163499.12,2.412138872109962
174,ENSG00000135773.13,2.405600198247825
175,ENSG00000244734.4,2.4025650127841454
176,ENSG00000165376.11,2.4015044021238996
177,ENSG00000169876.14,2.388700611955255
178,ENSG00000131771.14,2.3875790850696355
179,ENSG00000134873.10,2.38497375682187
180,ENSG00000137440.5,2.3545608467735293
181,ENSG00000107984.10,2.348453720778315
182,ENSG00000125740.14,2.3461724301741427
183,ENSG00000095932.7,2.32619268437172
184,ENSG00000178934.5,2.323910326100338
185,ENSG00000165215.6,2.323353000816764
186,ENSG00000171951.5,2.314599726095665
187,ENSG00000196188.12,2.3129929226515893
