gene_id,gene_symbol,source
ENSG00000019582.15,CD74,gyorffy_survival
ENSG00000153563.16,CD8A,literature_pan_cancer
ENSG00000172116.23,CD8B,literature_pan_cancer
ENSG00000117399.14,CDC20,gyorffy_survival
ENSG00000101224.17,CDC25B,gyorffy_survival
ENSG00000158402.20,CDC25C,gyorffy_survival
ENSG00000094804.12,CDC6,gyorffy_survival
ENSG00000144354.14,CDCA7,gyorffy_survival
ENSG00000170558.10,CDH2,literature_pan_cancer
ENSG00000062038.14,CDH3,literature_pam50
ENSG00000170312.16,CDK1,literature_pan_cancer
ENSG00000123374.11,CDK2,literature_pan_cancer
ENSG00000111328.7,CDK2AP1,gyorffy_survival
ENSG00000147889.18,CDKN2A,core_driver_pan_cancer
ENSG00000147883.12,CDKN2B,core_driver_pan_cancer
ENSG00000123080.12,CDKN2C,gyorffy_survival
ENSG00000115163.15,CENPA,gyorffy_survival
ENSG00000117724.13,CENPF,gyorffy_survival
ENSG00000123219.13,CENPK,gyorffy_survival
ENSG00000166451.13,CENPN,gyorffy_survival
ENSG00000203760.9,CENPW,gyorffy_survival
ENSG00000143702.16,CEP170,gyorffy_survival
ENSG00000138180.16,CEP55,gyorffy_survival
ENSG00000163320.12,CGGBP1,gyorffy_survival
ENSG00000167670.16,CHAF1A,gyorffy_survival
ENSG00000149554.13,CHEK1,literature_pan_cancer
ENSG00000183765.23,CHEK2,literature_pan_cancer
ENSG00000072609.18,CHFR,gyorffy_survival
ENSG00000130724.9,CHMP2A,gyorffy_survival
ENSG00000111666.11,CHPT1,gyorffy_survival
ENSG00000169105.8,CHST14,gyorffy_survival
ENSG00000182022.18,CHST15,gyorffy_survival
ENSG00000005194.15,CIAPIN1,gyorffy_survival
ENSG00000136305.11,CIDEB,gyorffy_survival
ENSG00000099622.14,CIRBP,gyorffy_survival
ENSG00000125931.11,CITED1,gyorffy_survival
ENSG00000173207.13,CKS1B,gyorffy_survival
ENSG00000123975.5,CKS2,gyorffy_survival
ENSG00000172243.18,CLEC7A,gyorffy_survival
ENSG00000155962.13,CLIC2,gyorffy_survival
ENSG00000172409.6,CLP1,gyorffy_survival
ENSG00000166685.12,COG1,gyorffy_survival
ENSG00000103051.20,COG4,gyorffy_survival
ENSG00000168434.13,COG7,gyorffy_survival
ENSG00000108821.14,COL1A1,literature_pan_cancer
ENSG00000164692.18,COL1A2,literature_pan_cancer
ENSG00000168542.16,COL3A1,literature_pan_cancer
ENSG00000130635.16,COL5A1,literature_pan_cancer
ENSG00000204262.14,COL5A2,literature_pan_cancer
ENSG00000080573.7,COL5A3,gyorffy_survival
ENSG00000142156.15,COL6A1,literature_pan_cancer
ENSG00000142173.16,COL6A2,literature_pan_cancer
ENSG00000163359.16,COL6A3,literature_pan_cancer
ENSG00000111481.10,COPZ1,gyorffy_survival
ENSG00000167113.11,COQ4,gyorffy_survival
ENSG00000164919.11,COX6C,gyorffy_survival
ENSG00000137449.17,CPEB2,gyorffy_survival
ENSG00000213145.10,CRIP1,gyorffy_survival
ENSG00000182809.11,CRIP2,gyorffy_survival
ENSG00000101343.15,CRNKL1,gyorffy_survival
ENSG00000103316.12,CRYM,gyorffy_survival
ENSG00000124207.17,CSE1L,gyorffy_survival
ENSG00000184371.14,CSF1,literature_pan_cancer
ENSG00000182578.14,CSF1R,literature_pan_cancer
ENSG00000141551.14,CSNK1D,gyorffy_survival
