case_id,n_patches,prop_0,disp_0,intravar_0,centdist_0,prop_1,disp_1,intravar_1,centdist_1,prop_2,disp_2,intravar_2,centdist_2,prop_3,disp_3,intravar_3,centdist_3,prop_4,disp_4,intravar_4,centdist_4,prop_5,disp_5,intravar_5,centdist_5,prop_6,disp_6,intravar_6,centdist_6,prop_7,disp_7,intravar_7,centdist_7,prop_8,disp_8,intravar_8,centdist_8,prop_9,disp_9,intravar_9,centdist_9
TCGA-2J-AAB1,16662,0.05815628375945265,11832.45753855356,0.07490880237963544,15.876695402501937,0.004621293962309447,25085.296482352693,0.10077380237881566,13.728999510007371,0.006061697275237066,5975.306483408369,0.08328996065716458,17.50332354170364,0.0,0.0,0.0,0.0,0.13437762573520587,20856.958787841715,0.10158859811620198,14.780523382060082,0.5940463329732325,24040.05123910533,0.09470736583316748,13.53704288753951,0.03300924258792462,6820.258256278577,0.08855890657499683,16.751135151150436,0.0,0.0,0.0,0.0,0.16972752370663785,26089.009258542712,0.0729676785941739,13.365285116018573,0.0,0.0,0.0,0.0
TCGA-2J-AAB4,13137,0.0,0.0,0.0,0.0,0.010733044073989496,19350.178195186607,0.10581490707920573,14.420541447421353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00197914287889168,3092.732774020566,0.04987375098237375,15.654192595103154,0.5801933470350917,19599.33833238403,0.09874325206274463,13.374558838021004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4070944660120271,18473.334046742235,0.07660583848256673,13.611388654088158,0.0,0.0,0.0,0.0
TCGA-2J-AAB6,18850,0.0,0.0,0.0,0.0,0.0064721485411140586,23911.52571913808,0.09479026587761424,13.110614515857682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001273209549071618,3428.3070352975715,0.04659169211477208,14.384048753648978,0.5503978779840849,26955.538272742517,0.09658634322513227,13.210116969601462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4418567639257294,21198.08543073168,0.09309789951027125,13.385082564195017,0.0,0.0,0.0,0.0
TCGA-2J-AAB8,12667,0.0,0.0,0.0,0.0,0.0022104681455751164,16811.159064594332,0.07466600533826062,11.881777430746265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018473198073734903,9087.29092758537,0.0795912502117196,14.466755330779803,0.5870371832320203,18929.539897470506,0.09131268963684491,12.751679319265039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922791505486698,13574.03131859126,0.08068677776327304,12.690586018950464,0.0,0.0,0.0,0.0
TCGA-2J-AAB9,19623,0.0012230545788105794,5640.059131724886,0.03961899348659167,15.571660294265328,0.004229730418386587,23519.925095913328,0.10374081545561,13.82128430545049,0.0,0.0,0.0,0.0,5.096060745044081e-05,0.0,3.700743415417188e-17,12.916192054478977,0.02405340671660806,19811.19325816835,0.06433240301925998,14.789419106026555,0.6198338684197116,26613.41176974869,0.10228950573783646,13.386996616705968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3506089792590328,24710.533515250812,0.08854840269348792,13.237788875771571,0.0,0.0,0.0,0.0
TCGA-2J-AABA,4838,0.0,0.0,0.0,0.0,0.07689127738735015,13136.876642709423,0.11104757661366625,14.512804505784723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024803637866887144,1702.2793038976918,0.04952643801580834,14.991876664629297,0.9195948739148408,15131.949806784774,0.10520019941049759,13.78299404952351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010334849111202976,3267.788973148112,0.03096209291881835,12.589864915305814,0.0,0.0,0.0,0.0
TCGA-2J-AABE,20470,0.0,0.0,0.0,0.0,0.005666829506595017,25625.613717975873,0.08156707167164798,12.39729456883753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005031753786028334,22071.550553762696,0.06340150215613875,15.040501715604842,0.39281875915974596,24256.231467268026,0.09118590325317305,12.89439499756679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5964826575476306,24363.449230142644,0.09519325633388433,13.550688289298408,0.0,0.0,0.0,0.0
TCGA-2J-AABF,19534,5.1192792054878675e-05,0.0,7.401486830834377e-17,13.155916200397941,0.011518378212347701,25274.82980586001,0.09898514257117669,13.474784552875052,0.00010238558410975735,128.0,0.026501971364436067,15.541542648176438,0.0,0.0,0.0,0.0,0.020169960069622198,25959.894413036676,0.07470840895709345,14.598994977906786,0.6864441486638682,25776.5067755691,0.096519075402557,13.247376297417988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2817139346779973,21818.08171158756,0.09303701476710087,13.514691433007838,0.0,0.0,0.0,0.0
TCGA-2J-AABH,14203,0.0,0.0,0.0,0.0,0.021192705766387383,25913.89464025376,0.099653134612681,14.199868204176507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01330704780680138,14349.33522245367,0.08752318828359153,14.657738948720118,0.6852777582200944,24864.93533822969,0.1000938817297064,13.293225398019718,7.040766035344645e-05,0.0,1.4802973661668753e-16,17.31668161549806,0.0,0.0,0.0,0.0,0.2801520805463634,18549.877636842182,0.09728450020047118,14.260273266605108,0.0,0.0,0.0,0.0
TCGA-2J-AABI,19273,0.0,0.0,0.0,0.0,0.018419550666735847,24761.49532516638,0.10310264128129859,14.413809839359242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7983188917137966,24930.440509548956,0.09222527766999865,13.795726859923624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18326155761946764,21347.06860566674,0.07937972640072254,14.769877766686465,0.0,0.0,0.0,0.0
