rank,gene_id
246,ENSG00000105825.14
247,ENSG00000167157.11
248,ENSG00000101986.12
249,ENSG00000163602.11
250,ENSG00000172023.8
251,ENSG00000142698.15
252,ENSG00000170950.6
253,ENSG00000189042.13
254,ENSG00000104524.14
255,ENSG00000143278.5
256,ENSG00000105438.9
257,ENSG00000169427.8
258,ENSG00000185000.12
259,ENSG00000104886.12
260,ENSG00000167034.10
261,ENSG00000158710.15
262,ENSG00000167657.14
263,ENSG00000263353.3
264,ENSG00000122140.11
265,ENSG00000077254.14
266,ENSG00000168014.17
267,ENSG00000115233.12
268,ENSG00000147813.16
269,ENSG00000162623.16
270,ENSG00000147100.11
271,ENSG00000101182.15
272,ENSG00000186272.13
273,ENSG00000147684.10
274,ENSG00000071894.17
275,ENSG00000081019.13
276,ENSG00000239887.6
277,ENSG00000234829.4
278,ENSG00000183032.12
279,ENSG00000253159.3
280,ENSG00000100401.20
281,ENSG00000188340.2
282,ENSG00000096006.12
283,ENSG00000104325.7
284,ENSG00000198929.13
285,ENSG00000168778.12
286,ENSG00000165280.17
287,ENSG00000153904.21
288,ENSG00000090932.11
289,ENSG00000125817.8
290,ENSG00000204839.9
291,ENSG00000178719.17
292,ENSG00000033867.16
293,ENSG00000080298.15
294,ENSG00000189376.12
295,ENSG00000196224.7
296,ENSG00000051180.17
297,ENSG00000112200.17
298,ENSG00000179091.5
299,ENSG00000131115.16
300,ENSG00000135974.10
301,ENSG00000147586.10
302,ENSG00000269586.7
303,ENSG00000188785.12
304,ENSG00000173801.17
305,ENSG00000275674.1
306,ENSG00000129354.12
307,ENSG00000213762.12
308,ENSG00000120963.12
309,ENSG00000166801.16
310,ENSG00000140795.13
311,ENSG00000136319.12
312,ENSG00000101181.17
313,ENSG00000115286.20
314,ENSG00000105447.13
315,ENSG00000123989.14
316,ENSG00000146425.11
317,ENSG00000137857.17
318,ENSG00000106688.12
319,ENSG00000014216.16
320,ENSG00000197363.9
321,ENSG00000108433.17
322,ENSG00000135924.16
323,ENSG00000101255.11
324,ENSG00000172172.8
325,ENSG00000006744.19
326,ENSG00000215113.6
327,ENSG00000196220.16
328,ENSG00000121904.17
329,ENSG00000269343.9
330,ENSG00000143669.14
331,ENSG00000167264.18
332,ENSG00000135175.5
333,ENSG00000168575.10
334,ENSG00000111144.10
335,ENSG00000123095.6
336,ENSG00000156831.8
337,ENSG00000138271.6
338,ENSG00000100580.8
339,ENSG00000178980.15
340,ENSG00000156795.8
341,ENSG00000146733.14
342,ENSG00000104969.11
343,ENSG00000007171.18
344,ENSG00000221909.3
345,ENSG00000272398.6
346,ENSG00000243284.1
347,ENSG00000166326.7
348,ENSG00000188613.7
349,ENSG00000133111.4
350,ENSG00000139192.12
351,ENSG00000133104.14
352,ENSG00000115919.15
353,ENSG00000163818.17
354,ENSG00000121753.12
355,ENSG00000180921.7
356,ENSG00000111816.8
357,ENSG00000152520.14
358,ENSG00000212747.5
359,ENSG00000119636.16
360,ENSG00000166143.10
361,ENSG00000173137.12
362,ENSG00000179195.16
363,ENSG00000198315.11
364,ENSG00000177842.12
365,ENSG00000218823.2
366,ENSG00000215343.7
367,ENSG00000163539.17
368,ENSG00000162139.10
369,ENSG00000185010.15
370,ENSG00000127081.14
371,ENSG00000215704.10
372,ENSG00000137040.10
373,ENSG00000134343.14
374,ENSG00000164010.15
375,ENSG00000171903.16
376,ENSG00000032219.19
377,ENSG00000198393.8
378,ENSG00000196961.13
379,ENSG00000123562.18
380,ENSG00000139154.16
381,ENSG00000165650.12
382,ENSG00000004399.13
383,ENSG00000101306.11
384,ENSG00000151748.15
385,ENSG00000197858.11
386,ENSG00000182521.5
387,ENSG00000163491.16
388,ENSG00000163939.18
389,ENSG00000106733.21
390,ENSG00000165816.13
391,ENSG00000181638.20
392,ENSG00000273540.4
393,ENSG00000147697.9
394,ENSG00000119900.9
395,ENSG00000145819.18
396,ENSG00000148296.7
397,ENSG00000012171.20
398,ENSG00000130706.13
399,ENSG00000156500.15
400,ENSG00000149506.11
401,ENSG00000129003.19
402,ENSG00000163833.8
403,ENSG00000113389.16
404,ENSG00000109089.7
405,ENSG00000144747.17
406,ENSG00000196482.18
407,ENSG00000189266.13
408,ENSG00000176623.12
409,ENSG00000144749.14
410,ENSG00000115216.14
411,ENSG00000198736.12
412,ENSG00000132465.12
413,ENSG00000179886.6
414,ENSG00000144010.10
415,ENSG00000197859.11
416,ENSG00000137267.6
417,ENSG00000155254.13
418,ENSG00000198894.8
419,ENSG00000182903.16
420,ENSG00000184022.4
421,ENSG00000165300.7
422,ENSG00000119599.17
423,ENSG00000140090.18
424,ENSG00000198336.9
425,ENSG00000127774.7
426,ENSG00000092847.13
427,ENSG00000074416.14
428,ENSG00000214414.9
429,ENSG00000117697.15
430,ENSG00000129353.15
431,ENSG00000181588.16
432,ENSG00000136238.18
433,ENSG00000153201.16
434,ENSG00000171209.3
435,ENSG00000176495.3
436,ENSG00000213719.8
437,ENSG00000064601.20
438,ENSG00000277932.2
439,ENSG00000127666.10
440,ENSG00000124721.18
441,ENSG00000088002.12
