rank,gene_id,cox_z,cox_p
1,ENSG00000162399.9,8.593630971299437,8.426334667162561e-18
2,ENSG00000249104.3,8.397261761470883,4.570105143756807e-17
3,ENSG00000242389.8,8.091962359386514,5.871105505911382e-16
4,ENSG00000090402.8,7.933750243145819,2.1262548798395773e-15
5,ENSG00000267978.5,7.605823632132753,2.8309513477290658e-14
6,ENSG00000121871.4,7.3454305926740995,2.0509773867289449e-13
7,ENSG00000238074.5,7.312425095277917,2.6236353999116107e-13
8,ENSG00000169800.14,7.312425011172803,2.6236370426208806e-13
9,ENSG00000223569.8,7.221928382709514,5.125546656456645e-13
10,ENSG00000283205.1,7.221409837485135,5.145133048232554e-13
11,ENSG00000165762.3,5.923800131398611,3.1458577290629265e-09
12,ENSG00000124449.7,5.9003099445778515,3.628193413685974e-09
13,ENSG00000154342.6,5.6362441305939655,1.7379895001081992e-08
14,ENSG00000243207.6,5.5099819050635706,3.5887058856135766e-08
15,ENSG00000258992.7,5.483894189268203,4.160636860658004e-08
16,ENSG00000187416.12,5.386477202312449,7.185203818720748e-08
17,ENSG00000275163.1,5.239800165616769,1.6075057573369724e-07
18,ENSG00000170255.7,5.208605653889598,1.9026500046295612e-07
19,ENSG00000204246.3,5.011727405073036,5.394358493695551e-07
20,ENSG00000197786.3,5.006923018723026,5.530703332271748e-07
21,ENSG00000196431.4,4.96792890664369,6.767176150495179e-07
22,ENSG00000177992.10,4.877434800355534,1.0747435574446828e-06
23,ENSG00000164651.17,4.833046767638001,1.3445918370394175e-06
24,ENSG00000237700.2,4.7695698788098495,1.8461969321837804e-06
25,ENSG00000170835.16,4.767674420899204,1.8636463154746546e-06
26,ENSG00000196805.7,4.722347771253258,2.331375809405753e-06
27,ENSG00000178997.11,4.69489129777532,2.6674853427652403e-06
28,ENSG00000244362.3,4.682953503151516,2.8277067353500398e-06
29,ENSG00000151033.10,4.63780464981011,3.521293594168594e-06
30,ENSG00000287585.1,4.599839874302088,4.2281582233781614e-06
31,ENSG00000197584.12,4.586771002122506,4.501539664150222e-06
32,ENSG00000147509.14,4.551873638925494,5.317026824980909e-06
33,ENSG00000186965.5,4.498713372024706,6.836595793620307e-06
34,ENSG00000186886.8,4.484746592181388,7.300063905055875e-06
35,ENSG00000089116.4,4.471862022260899,7.75414542446631e-06
36,ENSG00000161905.13,4.433916264277071,9.253657908753112e-06
37,ENSG00000197016.12,-4.423465370876816,9.713020656993682e-06
38,ENSG00000110243.12,4.415742803994644,1.00663716647435e-05
39,ENSG00000204702.5,4.390203151625902,1.1324481266179087e-05
40,ENSG00000169327.5,4.372301269382616,1.2294371157486015e-05
41,ENSG00000131737.5,4.3694658357800975,1.2455082303054285e-05
42,ENSG00000182759.4,4.361243306111393,1.2932545801069106e-05
43,ENSG00000176246.1,4.346085606780339,1.3858849905781647e-05
44,ENSG00000205126.2,4.315478515675717,1.5925754126440284e-05
45,ENSG00000268089.3,4.309661356100747,1.6350472538437566e-05
46,ENSG00000270601.4,4.265135341855151,1.99781061217348e-05
47,ENSG00000185823.5,4.253976410762653,2.1000743457567864e-05
48,ENSG00000145384.4,4.148037384046611,3.353376499420106e-05
49,ENSG00000164744.13,4.11203379448856,3.9218887287529504e-05
50,ENSG00000186113.1,4.10701644658026,4.008027008442447e-05
51,ENSG00000188784.4,4.08954537961171,4.322195039265075e-05
52,ENSG00000204710.2,4.070116263679216,4.698968146230068e-05
53,ENSG00000187268.12,4.049323620310869,5.136587381355115e-05
54,ENSG00000196131.6,4.026452890169332,5.6624577788178615e-05
55,ENSG00000141934.10,4.01430972414033,5.962001651082769e-05
56,ENSG00000106648.14,4.008521091699186,6.110018256398732e-05
57,ENSG00000121022.14,3.956500813551992,7.605562941283034e-05
58,ENSG00000181135.16,3.9473156547523898,7.903232842549197e-05
59,ENSG00000166145.14,3.945267829257843,7.971083284373577e-05
60,ENSG00000171201.12,3.9305018742839746,8.476873271199423e-05
61,ENSG00000124490.14,3.9238636565417275,8.714006438849231e-05
62,ENSG00000172350.10,3.910142562445708,9.22416638975242e-05
63,ENSG00000185803.12,3.8947321490231235,9.83073007215653e-05
64,ENSG00000133742.14,3.8911462186857126,9.97717828946462e-05
65,ENSG00000185926.1,3.8593785775672282,0.00011367572115867069
66,ENSG00000274391.5,3.857065475696161,0.00011475643073844082
67,ENSG00000283428.1,3.8404044198358815,0.00012283178987995854
68,ENSG00000155918.8,3.8385816713569305,0.0001237470544758114
69,ENSG00000168234.13,-3.823317869855672,0.00013166785852912247
70,ENSG00000261667.1,3.7988348468688735,0.00014537792176945352
71,ENSG00000277758.5,3.7774512514015135,0.00015844150481034302
72,ENSG00000181885.18,3.7743036850554326,0.00016045520443007359
73,ENSG00000165644.11,3.7624159207513235,0.0001682798896839424
74,ENSG00000108984.15,-3.7578926154453387,0.00017135038244219027
75,ENSG00000163412.13,-3.738667474708144,0.00018499823338723585
76,ENSG00000182450.13,3.735909652956627,0.00018703781822991967
77,ENSG00000215115.6,3.735184653852918,0.00018757749930370675
78,ENSG00000113594.10,-3.7122600467034346,0.0002054167735984149
79,ENSG00000272916.5,3.7093086328653695,0.0002078259686197973
80,ENSG00000244057.4,3.7051393145736653,0.00021127457742214833
81,ENSG00000196867.8,-3.701275854140256,0.00021451810629106487
82,ENSG00000120937.9,3.695583431284094,0.0002193824222440242
83,ENSG00000240432.3,3.681463476246966,0.00023189901332130937
84,ENSG00000163659.13,-3.672739348744804,0.00023996421483915578
85,ENSG00000140506.17,3.659668096650879,0.0002525421354785277
86,ENSG00000235173.7,3.642304398511573,0.00027020828289518734
87,ENSG00000184343.11,3.6403083740783746,0.00027231170855211744
88,ENSG00000180433.5,3.639983605195968,0.0002726554007095521
89,ENSG00000146147.15,3.633615403090508,0.0002794773582130997
